state,year,rating
AL,2024,7
AK,2024,7
AZ,2024,4
AR,2024,7
CA,2024,1
CO,2024,1
CT,2024,1
DE,2024,1
DC,2024,1
FL,2024,6
GA,2024,4
HI,2024,1
ID,2024,7
IL,2024,1
IN,2024,7
IA,2024,7
KS,2024,7
KY,2024,7
LA,2024,7
ME,2024,2
MD,2024,1
MA,2024,1
MI,2024,4
MN,2024,2
MS,2024,7
MO,2024,7
MT,2024,7
NE,2024,7
NV,2024,4
NH,2024,2
NJ,2024,1
NM,2024,2
NY,2024,1
NC,2024,4
ND,2024,7
OH,2024,7
OK,2024,7
OR,2024,1
PA,2024,4
RI,2024,1
SC,2024,7
SD,2024,7
TN,2024,7
TX,2024,6
UT,2024,7
VT,2024,1
VA,2024,2
WA,2024,1
WV,2024,7
WI,2024,4
WY,2024,7
AL,2020,7
AK,2020,6
AZ,2020,3
AR,2020,7
CA,2020,1
CO,2020,2
CT,2020,1
DE,2020,1
DC,2020,1
FL,2020,5
GA,2020,3
HI,2020,1
ID,2020,7
IL,2020,1
IN,2020,6
IA,2020,5
KS,2020,6
KY,2020,7
LA,2020,7
ME,2020,2
MD,2020,1
MA,2020,1
MI,2020,3
MN,2020,2
MS,2020,7
MO,2020,6
MT,2020,6
NE,2020,7
NV,2020,3
NH,2020,2
NJ,2020,1
NM,2020,2
NY,2020,1
NC,2020,3
ND,2020,7
OH,2020,5
OK,2020,7
OR,2020,1
PA,2020,3
RI,2020,1
SC,2020,6
SD,2020,7
TN,2020,7
TX,2020,5
UT,2020,6
VT,2020,1
VA,2020,2
WA,2020,1
WV,2020,7
WI,2020,3
WY,2020,7
AL,2016,7
AK,2016,6
AZ,2016,5
AR,2016,7
CA,2016,1
CO,2016,2
CT,2016,1
DE,2016,1
DC,2016,1
FL,2016,3
GA,2016,7
HI,2016,1
ID,2016,7
IL,2016,1
IN,2016,7
IA,2016,5
KS,2016,7
KY,2016,7
LA,2016,7
ME,2016,2
MD,2016,1
MA,2016,1
MI,2016,3
MN,2016,2
MS,2016,7
MO,2016,7
MT,2016,7
NE,2016,7
NV,2016,3
NH,2016,3
NJ,2016,1
NM,2016,2
NY,2016,1
NC,2016,3
ND,2016,7
OH,2016,5
OK,2016,7
OR,2016,1
PA,2016,3
RI,2016,1
SC,2016,7
SD,2016,7
TN,2016,7
TX,2016,7
UT,2016,4
VT,2016,1
VA,2016,2
WA,2016,1
WV,2016,7
WI,2016,2
WY,2016,7
AL,2012,7
AK,2012,7
AZ,2012,7
AR,2012,7
CA,2012,1
CO,2012,2
CT,2012,1
DE,2012,1
DC,2012,1
FL,2012,5
GA,2012,7
HI,2012,1
ID,2012,7
IL,2012,1
IN,2012,7
IA,2012,3
KS,2012,7
KY,2012,7
LA,2012,7
ME,2012,2
MD,2012,1
MA,2012,1
MI,2012,2
MN,2012,2
MS,2012,7
MO,2012,7
MT,2012,7
NE,2012,7
NV,2012,2
NH,2012,3
NJ,2012,1
NM,2012,2
NY,2012,1
NC,2012,6
ND,2012,7
OH,2012,3
OK,2012,7
OR,2012,1
PA,2012,3
RI,2012,1
SC,2012,7
SD,2012,7
TN,2012,7
TX,2012,7
UT,2012,7
VT,2012,1
VA,2012,4
WA,2012,1
WV,2012,7
WI,2012,3
WY,2012,7
AL,2008,7
AK,2008,6
AZ,2008,7
AR,2008,6
CA,2008,1
CO,2008,4
CT,2008,1
DE,2008,1
DC,2008,1
FL,2008,4
GA,2008,6
HI,2008,1
ID,2008,7
IL,2008,1
IN,2008,7
IA,2008,3
KS,2008,7
KY,2008,7
LA,2008,7
ME,2008,1
MD,2008,1
MA,2008,1
MI,2008,4
MN,2008,2
MS,2008,7
MO,2008,5
MT,2008,6
NE,2008,7
NV,2008,4
NH,2008,4
NJ,2008,1
NM,2008,3
NY,2008,1
NC,2008,5
ND,2008,6
OH,2008,4
OK,2008,7
OR,2008,2
PA,2008,4
RI,2008,1
SC,2008,7
SD,2008,7
TN,2008,7
TX,2008,7
UT,2008,7
VT,2008,1
VA,2008,4
WA,2008,1
WV,2008,7
WI,2008,4
WY,2008,7
AL,2004,7
AK,2004,7
AZ,2004,5
AR,2004,6
CA,2004,1
CO,2004,5
CT,2004,1
DE,2004,1
DC,2004,1
FL,2004,3
GA,2004,7
HI,2004,3
ID,2004,7
IL,2004,1
IN,2004,7
IA,2004,5
KS,2004,7
KY,2004,7
LA,2004,7
ME,2004,1
MD,2004,1
MA,2004,1
MI,2004,3
MN,2004,3
MS,2004,7
MO,2004,5
MT,2004,7
NE,2004,7
NV,2004,5
NH,2004,3
NJ,2004,3
NM,2004,5
NY,2004,1
NC,2004,7
ND,2004,7
OH,2004,5
OK,2004,7
OR,2004,3
PA,2004,3
RI,2004,1
SC,2004,7
SD,2004,7
TN,2004,7
TX,2004,7
UT,2004,7
VT,2004,1
VA,2004,6
WA,2004,2
WV,2004,6
WI,2004,5
WY,2004,7
