sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
AL,0,45,C,M,W,U,A,U,1,S4,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
AL,0,34,B,F,B,U,A,U,0,R2,YC,D,,,YC,,,,,,YC,,,,,,,,,8,8,100,4,100,4,100,2,3,1,25,1,33
AL,0,66,E,F,W,U,C,H,0,R1,,,,,YC,,,,YC,R,YC,,,,,,,,,10,10,83,4,67,6,100,1,8,3,50,0,0
AL,0,69,E,M,B,U,A,U,0,R1,YC,R,,,YC,,,,,,,,,,,,,,,2,2,40,1,33,1,50,0,1,0,0,0,0
AL,0,31,B,F,B,U,A,R,0,S3,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
AL,0,27,A,M,B,,A,U,1,S4,,,,,,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
AL,0,31,B,F,B,U,A,U,0,R2,YC,D,,,YC,,,,,,,,,,,,,,,4,4,67,1,33,3,100,0,1,0,0,1,100
AL,0,52,D,F,W,,A,H,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,49,C,F,W,U,A,H,1,R2,,,,,YC,,,,,,YC,,,,,,,,,7,7,58,3,50,4,67,1,2,0,0,0,0
AL,0,60,D,F,W,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,5,5,50,1,20,4,80,1,0,0,0,0,0
AL,0,19,A,F,W,U,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,56,D,M,W,U,A,H,0,R2,,,,,YC,,,,,,YC,,,,,,,,,7,7,70,3,60,4,80,0,0,0,0,0,0
AL,0,52,D,F,B,U,B,U,0,S3,,,,,,,,,,,,,,,,,,,,8,8,67,3,50,5,83,0,2,2,33,0,0
AL,0,74,E,F,B,U,E,H,1,S4,YC,D,,,,,,,YC,D,YC,,,,,,,,,11,11,92,6,100,5,83,2,7,1,17,3,43
AL,0,20,A,M,W,U,B,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,45,C,F,B,U,A,H,1,S4,YC,D,,,YC,,,,YC,D,YC,,,,,,,,,12,12,100,6,100,6,100,3,8,2,33,3,38
AL,0,56,D,F,W,U,B,H,1,U5,YC,R,,,YC,,,,YC,R,YC,,,,,,,,,11,11,92,6,100,5,83,2,4,1,17,0,0
AL,0,34,B,M,B,U,A,U,0,S4,,,,,YC,,,,,,,,,,,,,,,3,3,38,0,0,3,75,0,0,0,0,0,0
AL,0,34,B,F,W,U,A,H,1,R1,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
AL,0,27,A,M,W,U,A,H,0,S4,,,,,,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
AL,0,81,F,M,B,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,36,B,F,W,,E,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,,,F,B,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,26,A,F,A,U,B,H,1,S3,,,,,YC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,0,0,0,0
AL,0,58,D,M,B,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,55,D,F,B,U,A,U,0,S3,,,,,YC,,,,,,,,,,,,,,,4,4,33,0,0,4,67,0,1,1,17,0,0
AL,0,25,A,M,W,,B,H,1,R2,,,,,,,,,,,,,,,,,,,,1,1,33,1,50,0,0,0,0,0,0,0,0
AL,0,69,E,M,B,U,B,H,1,S4,YC,D,,,YC,,,,YC,D,YC,,,,,,,,,12,12,100,6,100,6,100,3,8,2,33,3,38
AL,0,75,F,F,W,U,B,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,19,A,F,W,U,B,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,70,E,M,W,U,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,24,A,F,W,U,B,H,1,R1,,,,,YC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,0,1,0,0,0,0
AL,0,42,C,M,A,U,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,56,D,F,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,58,D,F,W,U,A,H,0,R1,,,,,,,,,,,,,,,,,,,,7,7,58,3,50,4,67,0,6,0,0,0,0
