sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
CT,0,,,M,H,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,31,B,F,B,U,A,U,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,67,E,F,W,U,B,H,1,R2,,,,,,,,,,,,,,,,,,,,4,4,33,2,33,2,33,0,0,0,0,0,0
CT,0,24,A,M,W,U,A,H,1,S4,,,,,,,,,,,AP,,,,,,,,,1,1,33,1,50,0,0,0,0,0,0,0,0
CT,0,23,A,M,W,U,B,H,1,R2,AP,,,,AP,,,,,,PP,,,,,,,,,5,3,100,2,100,1,100,3,2,0,0,0,0
CT,0,67,E,M,W,D,B,H,1,S4,,,,,AC,,,AC,,,AC,,,,,,PC,,,15,8,100,4,100,4,100,7,3,2,50,1,33
CT,0,65,E,M,W,D,B,H,1,S4,AP,,EP,,AP,,,,EP,,EP,,,,,,PC,,,0,0,0,0,0,0,0,0,0,1,0,0,0
CT,0,43,C,F,W,,B,R,1,S3,PP,D,,,PP,PP,,,PP,D,PP,,,,PP,D,,,,3,3,100,2,100,1,100,2,4,1,100,4,100
CT,0,64,D,M,W,R,A,U,0,,,,,,PC,,,,,,,,,,,,,,,7,3,50,1,33,2,67,4,0,1,33,0,0
CT,0,52,D,F,B,U,B,R,0,S4,,,,,YP,,,,,,PC,,,,,,,,,11,9,90,4,80,5,100,2,2,1,20,0,0
CT,0,70,E,M,H,D,A,H,1,U5,,,,,AC,,,,,,,,,,,,,,,17,11,92,5,83,6,100,7,4,0,0,0,0
CT,0,30,B,M,W,R,B,U,0,U5,,,,,,,,,,,PP,,,,,,,,,1,1,25,1,50,0,0,0,0,0,0,0,0
CT,0,64,D,M,W,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,,,F,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,53,D,M,U,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,33,B,M,W,U,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,45,C,M,W,,A,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,55,D,F,W,,D,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,72,E,M,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,39,B,F,W,U,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,67,E,M,W,D,C,H,0,R2,,,,,AC,,,,,,PC,,,,,,PC,,,10,9,75,4,67,5,83,3,2,2,33,0,0
CT,0,54,D,F,W,U,A,U,0,S4,,,,,PC,,,,,,PC,,,,,,,,,17,11,92,6,100,5,83,7,0,0,0,0,0
CT,0,57,D,M,H,R,A,H,1,U5,,,,,PC,,,PC,,,PC,,,,,,,,,19,12,100,6,100,6,100,9,0,0,0,0,0
CT,0,60,D,F,W,R,B,H,1,U5,PC,,,,PC,,,PC,PC,,PC,,,,,,,,,10,5,100,3,100,2,100,5,4,1,50,0,0
CT,0,82,F,M,W,U,E,H,0,S4,,,,,AC,,,,,,PC,,,,,,,,,13,12,100,6,100,6,100,1,0,0,0,0,0
CT,0,,,F,W,,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,39,B,F,W,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,72,E,M,W,D,A,H,1,U5,PC,,,,PC,,,PC,PC,,PC,,,,,,,,,20,12,100,6,100,6,100,10,5,0,0,0,0
CT,0,29,A,F,W,U,B,H,0,R2,,,,,PC,,,,,,PC,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
CT,0,63,D,M,W,U,C,H,1,S3,,,,,PC,,,,,,PC,,,,,,,,,17,12,100,6,100,6,100,7,0,0,0,0,0
CT,0,63,D,F,B,D,A,H,0,U5,AC,,,,AC,,,PC,,,AC,,,,,,,,,7,5,83,3,100,2,67,3,1,1,33,0,0
CT,0,70,E,F,W,,E,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,1,81,F,F,H,D,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,50,D,M,H,R,A,H,1,U5,PC,,,,PC,PC,,PC,,,PC,,,,,,,,,17,11,92,6,100,5,83,7,6,2,33,0,0
CT,0,41,C,F,W,U,B,U,0,S4,YC,,,,YC,,,,,,PP,,,,,,,,,3,3,75,2,100,1,50,0,2,0,0,0,0
CT,0,57,D,M,W,D,A,H,0,S4,,,,,PC,,,PC,,,PC,,,,,,,,,3,2,22,1,20,1,25,2,1,0,0,0,0
CT,0,40,C,F,W,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,55,D,M,W,U,A,U,1,S3,,,,,PC,,,,,,PC,,,,,,,,,15,12,100,6,100,6,100,3,0,0,0,0,0
CT,0,56,D,F,W,D,B,H,1,S4,,,,,,,,,,,PC,,,,,,,,,1,1,13,1,25,0,0,1,0,0,0,0,0
CT,0,71,E,F,W,D,C,H,1,S4,AC,,,,AC,AC,,AC,,,AC,,,,,,,,,9,5,42,3,50,2,33,5,3,1,17,0,0
CT,0,33,B,F,W,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,44,C,F,W,U,B,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,29,A,M,W,U,A,U,1,S4,,,,,PC,,,,,,PC,,,,,,,,,3,3,60,1,33,2,100,0,0,0,0,0,0
CT,0,43,C,M,W,D,A,R,1,S4,,,,,PC,,,,,,PC,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
CT,0,31,B,F,B,U,A,U,0,S4,,,,,PC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
CT,0,30,B,F,H,D,B,U,0,U5,PC,,,,PC,,,,PC,,,,,,,,,,,2,2,50,1,50,1,50,0,3,0,0,0,0
CT,0,36,B,F,W,U,C,U,0,S3,,,,,AC,,,PC,,,PC,,,,,,,,,5,3,75,1,50,2,100,3,0,0,0,0,0
CT,0,49,C,M,W,U,B,H,1,S4,,,,,PC,,,PC,,,PC,,,,,,,,,7,4,100,2,100,2,100,4,0,0,0,0,0
CT,0,51,D,M,B,U,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,46,C,F,W,R,B,H,1,S3,,,,,PC,,,PC,,,PC,,,,,,,,,10,8,67,3,50,5,83,3,1,0,0,1,100
CT,0,35,B,M,W,D,C,U,0,U5,,,,,PP,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
CT,0,60,D,F,W,U,B,H,1,S4,AC,,,,PC,,,PC,,,PC,,,,,,,,,17,10,100,5,100,5,100,8,1,1,20,0,0
CT,0,58,D,M,W,U,A,H,1,R2,,,,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
CT,0,52,D,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,31,B,M,W,R,A,U,0,U5,,,,,,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
CT,0,68,E,M,W,R,B,H,1,R2,PC,,,,PC,,,PC,PC,,PC,,,,,,,,,18,11,92,6,100,5,83,9,4,1,17,0,0
CT,0,48,C,F,W,U,E,H,1,R2,,,,,AC,,,,,,PC,,,,,,,,,4,4,80,2,67,2,100,1,0,0,0,0,0
CT,0,57,D,F,W,D,C,H,1,R2,,,,,PC,,,,,,PC,,,,,,,,,6,4,33,2,33,2,33,2,0,0,0,0,0
CT,0,71,E,M,W,U,A,H,1,S4,,,,,AC,,,,,,PC,,,,,,,,,8,7,58,2,33,5,83,1,0,0,0,0,0
CT,0,64,D,M,H,D,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,66,E,F,W,,B,H,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,77,F,M,W,D,B,H,0,S4,,,,,PC,,,,,,,,,,,,,,,4,4,36,1,17,3,60,0,0,0,0,0,0
CT,0,41,C,F,W,U,C,H,0,S4,,,,,PC,,,,,,,,,,,,,,,1,1,20,0,0,1,50,0,0,0,0,0,0
CT,0,34,B,M,U,,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,45,C,F,W,,B,H,0,S4,AP,R,,,AP,,,,PP,R,PP,,,,,,,,,5,5,100,3,100,2,100,0,3,0,0,0,0
CT,0,29,A,F,W,D,B,H,0,S4,,,,,PP,,,,,,PP,,,,,,,,,7,6,60,2,40,4,80,1,1,0,0,1,100
CT,0,39,B,F,W,D,B,H,0,U5,AC,,,,AC,,,AC,PC,,PC,,,,,,PC,,,8,4,67,2,67,2,67,5,2,2,67,0,0
CT,0,25,A,M,W,U,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,61,D,F,W,,B,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,56,D,F,W,U,B,U,1,S4,,,,,,,,,,,,,,,,,,,,8,8,67,3,50,5,83,0,0,0,0,0,0
CT,0,36,B,F,W,U,B,H,1,S3,,,,,,,,,,,PC,,,,,,,,,2,2,33,1,33,1,33,1,0,0,0,0,0
CT,0,81,F,F,W,R,C,H,0,R2,PC,,,,PC,,,PC,PC,,PC,,,,,,,,,18,12,100,6,100,6,100,8,3,0,0,0,0
CT,0,41,C,F,B,,A,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,53,D,F,W,U,B,H,0,R2,,,,,AC,,,,,,PC,,,,,,,,,4,4,67,1,33,3,100,0,0,0,0,0,0
CT,0,37,B,F,W,R,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,74,E,M,W,D,B,H,1,R2,AC,,,,AC,,,AC,,,PC,,,,,,,,,14,10,83,6,100,4,67,6,1,0,0,0,0
CT,0,33,B,F,W,R,B,H,1,S4,YP,,,,YP,,,,,,PC,,,,,,,,,4,3,75,1,50,2,100,1,1,0,0,0,0
CT,0,69,E,M,W,D,A,H,1,R2,AC,,,,AC,,,PC,,,PC,,,,,,,,,9,6,60,2,40,4,80,3,1,0,0,0,0
CT,0,70,E,U,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,,,M,W,,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,75,F,F,W,D,A,U,0,S4,,,,,AC,,,,,,,,,,,,,,,8,8,80,3,60,5,100,0,3,0,0,1,33
CT,0,71,E,F,W,D,B,H,1,S3,AC,,,,AC,PC,,PC,PC,,PC,,,,,,,,,18,10,83,5,83,5,83,10,6,1,17,1,17
CT,0,51,D,F,W,D,A,U,1,S4,AC,D,,,EC,,,,PC,,PC,,,,YC,,,,,10,10,100,5,100,5,100,0,7,3,60,5,71
CT,0,42,C,F,B,D,B,H,1,S4,,,,,EC,,,,,,,,,,,,,,,8,8,67,2,33,6,100,0,5,2,33,5,100
CT,0,49,C,M,A,R,C,H,0,S3,,,,,AC,,,,,,PC,,,,,,,,,3,3,100,2,100,1,100,1,0,0,0,0,0
CT,0,28,A,F,B,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,39,B,F,W,U,C,H,0,S4,,,,,,,,,,,,,,,,,,,,8,7,70,3,60,4,80,1,0,0,0,0,0
CT,0,23,A,M,W,,,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,,,F,H,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,59,D,M,W,,C,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,35,B,F,W,U,A,U,0,S3,,,,,AC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
CT,0,30,B,F,W,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
