sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
DE,0,72,E,M,W,D,B,H,1,S3,MC,,,,YP,,,,,,YP,,,,,,,,,17,12,100,6,100,6,100,5,3,2,33,0,0
DE,0,67,E,F,W,D,A,H,1,R1,YP,,YP,,YP,,,,YP,,YP,,,,,,,,,3,3,100,2,100,1,100,0,2,1,100,0,0
DE,0,,,M,B,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,59,D,F,W,D,E,H,0,U5,,,,,YC,,,,,,,,,,,,,,,7,7,58,1,17,6,100,0,0,0,0,0,0
DE,0,41,C,M,W,,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,80,F,F,W,D,A,H,0,R2,YC,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,2,0,0,0,0
DE,0,67,E,F,W,U,A,H,0,U5,,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,0,0,0,0,0
DE,0,50,D,M,W,,B,H,1,U5,YP,D,,,YP,PP,,PP,PP,D,PP,,,,AP,D,,,,17,10,100,5,100,5,100,9,17,4,80,16,94
DE,0,,,F,W,,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,64,D,F,W,D,A,H,1,S3,YC,D,,,YC,AC,D,,YC,D,YC,,,,,,,,,15,10,83,4,67,6,100,7,7,2,33,7,100
DE,0,28,A,M,W,D,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,,,F,W,D,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,49,C,U,B,R,,U,0,S3,,,,,YC,,,,,,,,,,,,,,,2,2,29,0,0,2,67,0,0,0,0,0,0
DE,0,66,E,F,W,R,B,H,1,R2,YC,,,,YC,,,,,,YC,,,,,,,,,4,4,44,1,20,3,75,0,1,0,0,0,0
