sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
HI,0,62,D,F,A,U,B,U,0,S4,,,,,AC,,,,,,,,,,,,,,,7,7,58,3,50,4,67,0,3,0,0,0,0
HI,0,81,F,M,A,U,B,R,0,U5,,,,,AC,,,,AC,,AC,,,,,,,,,2,2,40,1,33,1,50,0,1,0,0,0,0
HI,0,55,D,F,W,U,A,U,0,S3,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,17,1,17,1,17,0,2,0,0,0,0
HI,0,,,U,A,U,A,U,0,S4,,,,,AC,,,,,,,,,,,,,,,1,1,17,0,0,1,33,0,0,0,0,0,0
HI,0,62,D,M,A,U,B,H,0,S3,AC,,,,AC,,,,,,AC,,,,,,,,,9,9,75,3,50,6,100,0,6,0,0,0,0
HI,0,101,F,F,A,U,B,H,0,U5,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,67,1,50,1,100,0,2,0,0,0,0
HI,0,,,F,U,U,B,H,1,U5,,,,,AC,,,,,,AC,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
HI,0,33,B,U,A,,E,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,A,R,0,S4,,,,,AC,,,,,,AC,,,,,,,,,2,2,29,1,25,1,33,0,0,0,0,0,0
HI,0,63,D,M,W,U,C,H,0,S4,,,,,AC,,,,,,AC,,,,,,,,,12,12,100,6,100,6,100,0,0,0,0,0,0
HI,0,,,F,A,U,B,U,0,U5,AC,,,,AC,,,,,,AC,,,,,,,,,6,6,55,3,50,3,60,0,4,0,0,0,0
HI,0,93,F,F,A,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,45,C,M,A,,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,H,U,A,U,0,R2,,,,,AC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
HI,0,,,M,A,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,68,E,F,W,,B,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,,U,0,S4,AC,,,,AC,,,,,,,,,,,,,,,4,4,67,1,33,3,100,0,3,0,0,0,0
HI,0,,,F,A,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,A,U,0,R1,,,,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
HI,0,,,F,W,U,A,U,0,R2,,,,,AP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,80,F,U,A,U,A,U,0,S4,,,,,AC,,,,,,,,,,,,,,,5,5,42,3,50,2,33,0,2,0,0,0,0
HI,0,,,M,W,U,A,U,0,R2,,,,,AP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,A,U,0,S4,,,,,AC,,,,,,,,,,,,,,,1,1,20,0,0,1,50,0,0,0,0,0,0
HI,0,34,B,M,U,U,A,U,0,R2,,,,,AC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
HI,0,79,F,F,A,,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,98,F,M,W,,A,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,89,F,M,A,U,C,H,1,U5,AC,,,,AC,,,,,,AC,,,,,,,,,2,2,17,1,17,1,17,0,1,0,0,0,0
HI,0,49,C,M,W,,B,H,0,U5,MP,,,,MP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,U,A,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,52,D,F,A,U,B,H,0,S3,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,50,1,50,1,50,0,2,0,0,0,0
HI,0,73,E,M,A,U,,U,0,U5,,,,,AC,,,,AC,,AC,,,,,,,,,5,5,42,2,33,3,50,0,4,0,0,0,0
HI,0,,,F,A,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,68,E,M,A,,A,U,0,S4,AP,R,,,YP,,,,YP,R,YP,,,,,,,,,8,7,78,3,60,4,100,2,3,1,25,0,0
HI,0,53,D,F,A,U,,H,1,S3,AP,,,,AP,,,,AC,,AC,,,,,,,,,1,1,8,1,17,0,0,0,1,0,0,0,0
HI,0,,,F,U,U,B,H,0,S4,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,25,1,25,1,25,0,2,0,0,0,0
HI,0,68,E,F,W,U,A,U,1,U5,AC,,,,AC,,,,AC,,AC,,,,,,,,,11,11,92,6,100,5,83,0,8,1,17,0,0
HI,0,56,D,M,A,U,A,H,0,S4,,,,,AC,,,,AC,,AC,,,,,,,,,2,2,20,1,20,1,20,0,1,0,0,0,0
HI,0,,,F,A,U,A,U,0,S3,AC,,,,AC,,,,AC,,,,,,,,,,,1,1,50,0,0,1,100,0,2,0,0,0,0
HI,0,78,F,F,A,U,B,H,0,U5,,,,,AC,,,,,,,,,,,,,,,1,1,8,0,0,1,17,0,0,0,0,0,0
HI,0,38,B,F,A,U,B,H,1,U5,MP,,,,MP,,,,MP,,MP,,,,,,,,,3,3,43,2,50,1,33,1,2,0,0,0,0
HI,0,,,F,A,U,A,H,1,U5,,,,,AC,,,,,,,,,,,,,,,1,1,8,0,0,1,17,0,0,0,0,0,0
HI,0,,,M,W,U,B,U,0,U5,,,,,AP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,60,D,F,W,U,B,H,1,S4,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,18,1,17,1,20,0,2,0,0,0,0
HI,0,63,D,M,A,U,B,H,1,U5,AC,,,,AC,,,,,,AC,,,,,,,,,2,2,67,1,50,1,100,0,1,0,0,0,0
HI,0,65,E,M,W,,A,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,F,U,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,B,H,0,U5,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,100,1,100,1,100,0,2,0,0,0,0
HI,0,88,F,M,A,U,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,81,F,M,W,U,A,H,1,R2,AC,,,,,,,,AC,,AC,,,,,,,,,11,11,92,6,100,5,83,0,11,1,17,0,0
HI,0,81,F,F,W,U,B,U,0,R2,PP,,AP,,AP,,,,AP,,AP,,,,,,AP,,,9,9,75,5,83,4,67,5,4,4,67,0,0
HI,0,51,D,M,A,U,A,H,1,S4,,,,,AC,,,,AC,,AC,,,,,,,,,12,12,100,6,100,6,100,0,8,1,17,0,0
HI,0,,,F,A,U,A,H,0,S3,AP,,,,AP,,,,AC,,AC,,,,,,,,,1,1,33,1,50,0,0,0,1,0,0,0,0
HI,0,95,F,M,W,U,B,R,1,S3,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,17,1,17,1,17,0,2,0,0,0,0
HI,0,54,D,M,H,,A,H,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,M,A,U,A,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,45,C,F,A,U,C,H,0,S3,AC,,,,AC,,,,,,AC,,,,,,,,,2,2,17,1,17,1,17,0,1,0,0,0,0
HI,0,,,F,A,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,56,D,M,A,U,B,H,0,U5,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,33,1,33,1,33,0,2,0,0,0,0
HI,0,73,E,F,A,,B,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,42,C,F,W,U,A,U,0,R2,,,,,AP,,,,AC,,AC,,,,,,,,,1,1,11,1,20,0,0,0,1,0,0,0,0
HI,0,60,D,F,A,U,B,U,0,U5,AC,,,,AC,,,,,,AC,,,,,,,,,2,2,17,1,17,1,17,0,1,0,0,0,0
HI,0,69,E,M,A,U,A,U,0,S4,AC,,,,AC,,,,AC,,AC,,,,,,,,,2,2,17,1,17,1,17,0,2,0,0,0,0
HI,0,87,F,M,W,U,C,H,1,S3,,,,,AC,,,,,,AC,,,,,,,,,2,2,17,1,17,1,17,0,0,0,0,0,0
HI,0,,,U,A,U,A,U,0,U5,,,,,AC,,,,,,,,,,,,,,,1,1,17,0,0,1,33,0,0,0,0,0,0
HI,0,56,D,F,W,U,A,R,1,S4,,,,,,,,,,,,,,,,,,,,1,1,20,1,33,0,0,0,0,0,0,0,0
HI,0,,,F,H,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,,,F,W,U,A,U,0,S4,,,,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
HI,0,95,F,F,A,U,B,H,0,U5,AC,,,,AC,,,,AC,,AC,,,,,,,,,5,5,42,3,50,2,33,0,5,0,0,0,0
HI,0,67,E,F,W,U,A,H,1,S3,,,,,AP,,,,AC,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0
HI,0,,,U,A,U,A,U,0,S4,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
