sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
ID,0,69,E,F,W,,B,H,1,S3,,,,,AP,,,,AP,R,AP,,,,,,,,,2,2,100,1,100,1,100,0,1,0,0,0,0
ID,0,37,B,F,W,R,B,H,1,S4,YC,R,,,YC,,,,,,YC,,,,,,,,,3,3,100,2,100,1,100,0,2,0,0,0,0
ID,0,71,E,M,W,R,B,H,1,R2,YC,R,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,5,2,33,0,0
ID,0,79,F,M,W,D,C,H,1,S3,,,MP,,AC,,,,,,AC,,,,,,,,,2,2,100,1,100,1,100,2,0,0,0,0,0
ID,0,30,B,M,W,U,B,H,1,S4,AP,D,YC,U,YC,,,,,,YP,,,,,,,,,12,12,100,6,100,6,100,5,4,2,33,2,50
ID,0,54,D,M,W,U,B,U,0,S4,,,YC,,EC,,,,,,YC,,,,,,,,,10,10,83,4,67,6,100,4,2,2,33,0,0
ID,0,75,F,F,W,R,E,H,1,S4,YC,D,YC,,AC,,,,AC,R,AC,,,,,,,,,12,12,100,6,100,6,100,3,5,2,33,1,20
ID,0,67,E,F,W,,A,U,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,24,A,F,H,U,B,H,1,R2,,,YC,,EC,,,,,,YC,,,,,,,,,3,3,100,2,100,1,100,0,1,1,100,1,100
ID,0,45,C,F,W,R,A,H,1,R1,,,,,AC,,,,,,YC,,,,,,,,,7,7,70,2,40,5,100,0,0,1,20,0,0
ID,0,50,D,M,W,R,C,H,1,R1,YC,R,,,AC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,2,5,1,17,0,0
ID,0,86,F,M,W,R,C,H,1,S3,,,,,AC,,,,EC,R,EC,,,,,,,,,7,7,100,4,100,3,100,2,3,1,33,0,0
ID,0,32,B,F,W,U,A,H,1,R1,,,,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
ID,0,37,B,M,W,R,A,U,0,R2,,,,,YC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,1,50,0,0
ID,0,56,D,M,W,R,A,H,1,R2,,,,,EC,,,,,,YC,,,,,,,,,10,10,91,5,83,5,100,0,1,1,20,0,0
ID,0,48,C,M,W,R,B,R,1,R1,,,,,YC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
ID,0,42,C,F,W,R,B,H,0,S4,,,,,YC,,,,,,YC,,,,,,,,,9,9,100,5,100,4,100,0,4,0,0,0,0
