sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
KS,0,28,A,F,W,R,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,33,B,M,W,U,B,H,0,S4,,,,,,,,,YC,,,,,,,,,,,1,1,17,0,0,1,33,0,1,0,0,0,0
KS,0,,,M,W,,A,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,50,D,F,W,R,A,U,0,U5,,,,,,,,,,,AP,,,,,,,,,1,1,50,1,100,0,0,0,0,0,0,0,0
KS,0,29,A,F,W,U,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,25,A,M,W,D,B,H,1,U5,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,1,0,0,0,0,0
KS,0,68,E,F,W,D,B,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,68,E,M,W,D,A,H,1,R2,,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,7,1,0,0,0,0
KS,0,90,F,F,W,,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,,,F,W,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,81,F,M,B,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,4,4,50,1,25,3,75,0,0,0,0,0,0
KS,0,26,A,M,W,L,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,23,A,F,W,L,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
KS,0,68,E,F,W,D,A,H,1,S4,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,1,3,0,0,0,0
KS,0,20,A,F,W,U,B,H,1,U5,,,,,,,,,YC,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0
KS,0,73,E,M,W,R,A,H,1,S4,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,4,10,0,0,0,0
KS,0,45,C,F,W,R,A,U,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,57,D,M,W,R,A,U,0,R2,,,,,,,,,,,,,,,,,,,,2,2,17,1,17,1,17,2,1,0,0,0,0
KS,0,86,F,F,W,D,E,H,0,R1,YC,,,,YC,,,,,,YC,,,,,,,,,11,11,92,5,83,6,100,3,6,0,0,0,0
KS,0,88,F,F,W,U,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,69,E,F,W,D,A,H,0,U5,,,,,YC,,,,YC,,YC,,,,,,,,,11,11,92,5,83,6,100,3,2,0,0,0,0
KS,0,,,F,W,,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,62,D,M,W,D,A,U,0,S4,YC,,,,YC,,,,,,YC,,,,,,,,,9,9,90,4,80,5,100,0,1,0,0,0,0
KS,0,21,A,F,W,D,B,H,1,U5,,,,,,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,2,1,0,0,0,0
KS,0,47,C,F,W,D,B,H,1,S4,,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,4,5,0,0,0,0
KS,0,77,F,F,W,R,B,H,1,R1,YC,,,,YC,,,,,,,,,,,,,,,9,9,82,4,67,5,100,3,4,0,0,0,0
KS,0,58,D,M,W,U,B,H,1,R1,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
KS,0,53,D,F,W,R,C,U,0,R2,,,,,YC,,,,YC,,YC,,,,,,,,,7,7,78,4,80,3,75,1,4,0,0,0,0
KS,0,52,D,F,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,49,C,F,W,D,C,H,1,U5,,,,,YC,,,,YC,,YC,,,,,,,,,8,8,100,4,100,4,100,1,1,0,0,0,0
KS,0,88,F,M,U,,A,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
