sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
LA,0,67,E,M,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,35,B,F,B,,E,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,69,E,F,B,D,A,U,0,R2,,,,,,,,,,,,,,,,,,,,4,3,38,1,25,2,50,1,1,0,0,0,0
LA,0,77,F,F,W,U,A,U,0,S4,,,,,YC,,,,,,,,,,,,,,,10,8,73,3,50,5,100,4,1,0,0,0,0
LA,0,37,B,F,W,R,B,H,1,S3,,,,,YC,,,,,,YC,,,,,,,,,14,9,90,4,80,5,100,5,3,1,20,0,0
LA,0,23,A,M,W,R,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,25,A,F,B,D,A,U,0,R2,,,,,,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
LA,0,50,D,F,W,D,C,H,1,S3,,,YC,,YC,,,,,,YC,,,,,,,,,16,12,100,6,100,6,100,9,10,2,33,0,0
LA,0,65,E,F,B,U,A,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,,,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,38,B,M,W,R,B,H,0,R1,,,,,YC,,,,,,,,,,,,,,,3,2,18,1,17,1,20,5,3,0,0,0,0
LA,0,44,C,F,W,R,B,H,1,R2,,,,,,,,,,,,,,,,,YC,,,0,0,0,0,0,0,0,0,0,1,0,0,0
LA,0,72,E,F,B,D,A,H,0,R2,,,,,YC,,,,,,,,,,,,,,,5,5,42,0,0,5,83,1,1,0,0,0,0
LA,0,65,E,M,B,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,58,D,M,W,R,B,H,1,R2,,,,,YC,,,,,,YC,,,,,,,,,10,9,75,4,67,5,83,1,1,0,0,0,0
LA,0,,,F,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,37,B,F,W,U,A,R,0,R2,,,,,YC,,,,,,,,,,,,,,,2,2,20,1,20,1,20,0,1,0,0,0,0
LA,0,42,C,M,W,U,A,H,0,R2,,,,,YC,,,,,,YC,,,,,,,,,11,9,75,3,50,6,100,2,0,0,0,0,0
LA,0,56,D,F,W,R,A,U,0,R1,,,,,YC,,,,,,YC,,,,,,,,,8,5,42,1,17,4,67,4,2,0,0,0,0
LA,0,19,A,M,B,U,B,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,33,B,M,W,U,A,U,0,R2,,,,,PC,,,,,,YP,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
LA,0,,,F,W,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,64,D,F,W,U,C,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,71,E,F,W,R,A,H,1,R1,,,,,YC,,,,,,YC,,,,,,,,,12,9,75,3,50,6,100,6,5,1,17,0,0
