sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
MN,0,39,B,M,W,U,C,H,1,R1,,,,,PC,,,,,,PC,,,,,,,,,5,5,83,2,67,3,100,0,0,0,0,0,0
MN,0,52,D,F,W,U,B,U,0,U5,AC,,AC,,AC,,,,,,AC,,,,,,,,,11,11,100,6,100,5,100,1,4,1,20,0,0
MN,0,22,A,U,W,U,C,U,0,S3,,,,,AC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
MN,0,42,C,M,W,U,A,H,1,R1,,,,,,,,,,,,,,,,,,,,1,1,8,0,0,1,17,0,0,0,0,0,0
MN,0,81,F,M,W,,B,H,1,R1,,,,,PC,AC,,,,,,,,,,,,,,2,2,50,0,0,2,100,1,1,0,0,0,0
MN,0,26,A,F,W,U,B,U,1,U5,,,,,AC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,0,0,0,0
MN,0,,,F,W,,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,25,A,F,W,U,C,H,1,S3,,,,,AC,,,,,,PC,,,,,,PC,,,2,2,100,1,100,1,100,0,0,1,100,0,0
MN,0,23,A,F,W,U,B,H,1,S4,,,,,AC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
MN,0,41,C,F,W,,C,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
