sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
MT,0,20,A,M,W,U,B,U,1,R1,,,,,,,,,,,,,,,PC,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0
MT,0,24,A,M,W,U,E,H,1,R2,,,,,MC,,,,MP,,PC,,,,,,,,,3,3,100,2,100,1,100,0,1,0,0,0,0
MT,0,72,E,F,W,U,E,H,0,S3,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,11,11,92,6,100,5,83,9,12,4,67,0,0
MT,0,94,F,M,W,U,A,H,0,S3,MP,,MP,,MP,MP,,,YC,,YC,,,,YC,,,,,1,1,100,1,100,0,0,2,2,1,0,0,0
MT,0,38,B,M,W,U,,H,1,S3,,,,,MC,,,,YC,,YC,,,,YC,,,,,4,4,100,2,100,2,100,1,3,1,50,0,0
MT,0,56,D,F,W,U,B,H,1,R1,,,,,MC,,,,YC,,,,,,,,,,,6,6,50,0,0,6,100,0,1,0,0,0,0
MT,0,,,M,W,,A,H,0,R2,,,,,YP,,,,,,,,,,,,,,,1,1,8,0,0,1,17,0,0,0,0,0,0
MT,0,31,B,M,W,U,A,U,1,R1,,,,,MC,,,,,,,,,,,,MP,U,,2,2,33,0,0,2,67,0,0,1,33,0,0
MT,0,67,E,F,W,U,A,H,0,R1,MC,,,,PC,,,,PC,,YC,,,,PC,,,,,12,12,100,6,100,6,100,3,12,5,83,0,0
MT,0,51,D,F,W,U,A,U,1,,MC,,,,MC,,,,,,PC,,,,,,,,,3,3,100,2,100,1,100,1,1,0,0,0,0
MT,0,34,B,M,W,,A,U,0,R1,,,,,MP,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
MT,0,58,D,M,W,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,1,1,17,0,0,1,33,0,0,0,0,0,0
MT,0,69,E,M,W,U,B,H,0,R1,,,,,MC,,,,PC,,PC,,,,PC,,,,,10,10,83,4,67,6,100,2,6,3,50,0,0
MT,0,19,A,F,W,U,B,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,26,A,M,W,,A,U,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,32,B,F,W,U,E,H,1,S3,,,,,MC,,,,,,,,,,,,,,,4,4,57,2,50,2,67,3,2,1,33,0,0
MT,0,58,D,M,W,U,D,H,0,R2,MC,,,,MC,,,,,,YC,,,,YC,,,,,7,7,88,3,75,4,100,5,2,1,25,0,0
MT,0,93,F,F,W,U,A,U,0,R2,MC,,,,MC,,,,YC,,YC,,,,,,,,,6,6,86,3,75,3,100,2,5,1,33,0,0
MT,0,40,C,F,W,U,B,U,0,S3,MP,,MP,,MP,,,MP,,,MP,,,,,,MP,,,4,4,80,3,100,1,50,3,2,2,100,0,0
MT,0,36,B,M,W,U,B,H,0,R2,MP,,,,MP,,,,,,YP,,,,,,,,,6,6,75,2,50,4,100,1,3,1,25,0,0
MT,0,42,C,M,W,U,B,H,1,S3,,,,,MC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,1,0,0,0,0,0
MT,0,38,B,M,W,,B,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,60,D,M,W,U,A,U,0,R1,,,,,,,,,,,,,,,YC,,,,,0,0,0,0,0,0,0,1,1,1,0,0,0
MT,0,81,F,F,W,U,B,H,1,S3,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,12,12,100,6,100,6,100,11,12,5,83,0,0
MT,0,71,E,M,W,U,A,H,0,R1,,,,,YP,,,,,,,,,,,,,,,5,5,63,1,25,4,100,2,1,1,25,0,0
MT,0,35,B,F,W,U,A,H,0,R1,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,7,7,88,3,75,4,100,1,6,2,50,0,0
MT,0,24,A,M,W,U,B,U,0,S4,MC,,,,MC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,0,2,0,0,0,0
MT,0,43,C,F,W,U,B,U,0,,MC,,,,MC,,,,,,YC,,,,YC,,,,,10,10,83,4,67,6,100,2,5,2,33,0,0
MT,0,,,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,78,F,F,W,,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,64,D,M,W,U,A,U,0,R2,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,3,3,100,2,100,1,100,3,3,1,100,0,0
MT,0,49,C,F,W,U,A,R,0,S3,,,,,,,,,,,,,,,,,,,,2,2,20,0,0,2,40,0,0,0,0,0,0
MT,0,66,E,F,W,U,C,H,1,S4,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,11,11,92,5,83,6,100,11,13,5,83,0,0
MT,0,60,D,F,W,U,A,H,1,R1,,,,,,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
MT,0,49,C,M,W,,E,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,35,B,F,W,U,A,U,0,R2,,,,,MP,,,,,,,,,,,,,,,3,3,50,0,0,3,100,1,0,0,0,0,0
MT,0,57,D,F,W,U,B,H,1,S3,MC,,,,MC,,,,PC,,PC,,,,PC,,,,,12,12,100,6,100,6,100,11,13,5,83,0,0
MT,0,71,E,M,W,U,C,H,1,S4,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,12,12,100,6,100,6,100,9,12,5,83,0,0
MT,0,77,F,M,W,U,C,H,1,R2,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,11,11,92,5,83,6,100,8,11,4,67,0,0
MT,0,24,A,F,W,U,A,U,0,R2,MC,,,,MC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,1,0,0,0,0
MT,0,70,E,F,W,D,A,H,0,R1,,,,,YC,,,,YP,,YP,,,,YP,,,,,12,12,100,6,100,6,100,5,12,5,83,0,0
MT,0,73,E,M,W,U,B,H,1,R2,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,12,12,100,6,100,6,100,10,13,5,83,0,0
MT,0,40,C,M,W,U,E,H,1,R1,,,,,MC,,,,PC,,PC,,,,,,,,,10,10,91,5,83,5,100,1,4,0,0,0,0
MT,0,56,D,F,W,U,A,U,1,R2,,,,,,,,,,,PC,,,,,,,,,1,1,50,1,100,0,0,0,0,0,0,0,0
MT,0,75,F,M,W,U,A,H,1,S3,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,11,11,100,6,100,5,100,8,10,4,80,0,0
MT,0,27,A,F,W,U,A,U,0,S3,MC,,,,MC,,,,YC,,MP,,,,YC,,,,,2,2,100,1,100,1,100,2,3,1,100,0,0
MT,0,70,E,M,W,U,A,H,0,R1,MC,,,,MC,,,,YC,,YC,,,,YC,,,,,10,10,83,4,67,6,100,1,3,1,17,0,0
MT,0,47,C,F,U,R,A,U,0,,YC,,,,YC,,,,,,,,,,,,,,,3,3,75,1,50,2,100,0,1,0,0,0,0
MT,0,63,D,F,W,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,68,E,F,W,U,A,U,0,R1,,,,,MC,,,,YC,,YC,,,,,,,,,9,9,75,5,83,4,67,2,3,1,17,0,0
MT,0,97,F,F,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,33,B,F,W,U,B,H,1,S3,,,,,MC,,,,,,YC,,,,,,,,,4,4,100,2,100,2,100,2,1,0,0,0,0
MT,0,54,D,M,W,U,A,U,0,R1,,,,,,,,,,,YC,,,,YC,,,,,1,1,100,1,100,0,0,0,1,1,0,0,0
MT,0,61,D,F,W,,A,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,66,E,M,W,,A,H,0,R2,,,,,MP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,43,C,M,W,U,A,U,0,R1,MC,,,,MC,,,,,,YC,,,,YC,,,,,2,2,100,1,100,1,100,0,2,1,100,0,0
MT,0,30,B,M,W,U,A,U,1,R2,,,,,MC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
MT,0,50,D,M,W,U,B,H,0,R1,,,,,MC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,1,2,2,33,0,0
