sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
ND,0,27,A,F,W,U,A,U,0,R2,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
ND,0,55,D,F,W,U,B,H,0,S3,,,,,YC,,,,YC,,YC,,,,,,,,,10,10,83,4,67,6,100,0,6,0,0,0,0
ND,0,78,F,F,W,U,A,U,0,S3,YC,,,,YC,,,,,,YC,,,,,,,,,11,11,100,6,100,5,100,0,6,0,0,0,0
ND,0,,,F,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,68,E,F,W,U,A,U,0,S4,,,,,YC,,,,,,,,,,,,,,,4,4,50,0,0,4,100,0,0,0,0,0,0
ND,0,40,C,M,U,U,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,3,3,75,1,50,2,100,0,1,0,0,0,0
ND,0,65,E,F,W,U,A,U,0,S4,YC,,,,YC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,0,5,0,0,0,0
ND,0,,,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,1,1,33,1,50,0,0,0,0,0,0,0,0
ND,0,66,E,M,A,U,B,H,0,S4,,,,,YC,,,,,,,,,,,,,,,9,9,82,4,67,5,100,0,0,0,0,0,0
ND,0,47,C,F,W,U,D,H,0,S4,,,,,YC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,0,4,0,0,0,0
ND,0,55,D,F,W,U,B,H,1,S4,YC,,,,YC,,,,,,,,,,,,,,,9,9,75,4,67,5,83,0,5,0,0,0,0
ND,0,44,C,M,W,,C,H,1,S3,,,,,YP,,,,,,,,,,,,,,,1,1,33,0,0,1,100,1,0,0,0,0,0
ND,0,85,F,M,W,U,A,H,1,R2,,,,,YC,,,,,,,,,,,,,,,9,9,90,4,80,5,100,0,0,0,0,0,0
ND,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,73,E,M,W,U,C,H,1,S4,,,,,YC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
ND,0,,,F,W,U,A,R,0,S3,YC,,,,YC,,,,,,YC,,,,,,,,,4,4,100,2,100,2,100,0,2,0,0,0,0
ND,0,34,B,F,W,U,A,U,0,S3,,,,,YC,,,,,,YC,,,,,,,,,10,10,83,5,83,5,83,0,6,0,0,0,0
ND,0,38,B,F,W,U,B,H,0,R1,,,,,YC,,,,,,,,,,,,,,,3,3,60,1,33,2,100,0,0,0,0,0,0
ND,0,104,F,F,W,U,,H,0,R2,YC,,,,YC,,,,,,,,,,,,,,,7,7,78,3,60,4,100,0,4,0,0,0,0
ND,0,,,M,W,U,A,H,0,S4,,,,,YC,,,,,,YC,,,,,,,,,8,8,80,3,60,5,100,0,4,0,0,0,0
ND,0,,,U,N,U,A,U,0,S4,,,,,YC,,,,,,,,,,,,,,,7,7,64,3,50,4,80,0,1,0,0,0,0
ND,0,64,D,F,W,U,A,U,1,S4,,,,,YC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
ND,0,30,B,M,W,U,B,H,1,S4,YC,,,,,,,,,,,,,,,,,,,8,8,67,3,50,5,83,0,4,0,0,0,0
ND,0,,,F,W,U,B,U,0,,,,,,YC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
ND,0,62,D,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,8,8,67,3,50,5,83,0,4,0,0,0,0
ND,0,55,D,M,W,U,C,H,0,R1,,,,,,,,,YC,,,,,,,,,,,7,7,58,3,50,4,67,0,2,0,0,0,0
ND,0,,,F,U,,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,,,U,W,U,A,H,0,R1,YC,,,,YC,,,,YC,,YC,,,,,,,,,5,5,100,3,100,2,100,0,2,0,0,0,0
ND,0,,,F,W,U,C,U,1,S3,YC,,,,YC,,,,YC,,,,,,,,,,,4,4,80,2,67,2,100,0,3,0,0,0,0
ND,0,,,F,W,U,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
ND,0,,,M,W,,E,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,78,F,F,W,U,C,H,1,S3,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,11,0,0,0,0
ND,0,42,C,M,W,U,B,H,1,S4,,,,,YC,,,,,,,,,,,,,,,4,4,80,2,67,2,100,0,1,0,0,0,0
ND,0,40,C,F,W,U,A,H,1,R2,,,,,YC,,,,,,,,,,,,,,,4,4,80,2,67,2,100,0,0,0,0,0,0
ND,0,59,D,F,W,U,B,H,1,R2,YC,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,2,0,0,0,0
ND,0,,,F,W,U,B,U,0,S4,YP,,,,YP,,,YP,,,YP,,,,,,,,,9,9,90,4,80,5,100,0,2,0,0,0,0
ND,0,73,E,F,W,U,C,H,0,S3,,,,,YC,,,,,,YC,,,,,,,,,6,6,75,3,75,3,75,0,2,0,0,0,0
ND,0,81,F,M,W,U,A,H,1,S4,,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,9,0,0,0,0
ND,0,37,B,M,N,U,E,R,0,R1,,,,,YC,,,,,,,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
ND,0,78,F,F,W,U,A,H,1,R1,YC,,,,YC,,,,YC,,YC,,,,,,,,,11,11,92,6,100,5,83,0,8,0,0,0,0
ND,0,85,F,M,W,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,63,D,F,W,U,C,H,1,R2,YC,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,3,0,0,0,0
ND,0,63,D,F,W,,A,H,0,R1,MP,,,,PP,,,,,,PP,,,,,,,,,6,6,50,3,50,3,50,0,2,0,0,0,0
ND,0,85,F,M,W,U,C,H,1,S3,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,6,0,0,0,0
ND,0,36,B,F,W,U,D,R,0,S3,YC,,,,YC,,,,,,YC,,,,,,,,,5,5,100,3,100,2,100,0,1,0,0,0,0
ND,0,,,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,29,A,M,W,U,A,U,0,S3,,,,,EC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
ND,0,49,C,M,W,U,A,H,1,S4,,,,,YC,,,,,,YC,,,,,,,,,11,11,92,5,83,6,100,0,1,0,0,0,0
ND,0,75,F,F,W,U,E,H,0,R1,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,11,0,0,0,0
ND,0,40,C,M,W,U,B,H,1,S4,YC,,,,,,,,,,,,,,,,,,,5,5,42,2,33,3,50,0,4,0,0,0,0
ND,0,42,C,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,66,E,F,W,U,C,H,0,R2,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,10,0,0,0,0
ND,0,36,B,F,W,U,A,U,0,S4,,,,,YC,,,,,,,,,,,,,,,7,7,70,2,40,5,100,0,2,0,0,0,0
ND,0,55,D,F,B,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,4,4,36,0,0,4,80,0,0,0,0,0,0
ND,0,,,M,W,,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,38,B,M,W,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,31,B,M,W,U,B,R,0,S4,,,,,YC,,,,,,,,,,,,,,,1,1,20,0,0,1,50,0,0,0,0,0,0
ND,0,48,C,M,W,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,5,5,56,2,40,3,75,0,3,0,0,0,0
ND,0,56,D,M,W,U,E,H,0,S3,,,,,YC,,,,YC,,YC,,,,,,,,,5,5,63,2,50,3,75,0,2,0,0,0,0
ND,0,54,D,U,W,,B,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,42,C,M,W,U,B,U,0,S4,,,,,YC,,,,,,YC,,,,,,,,,8,8,100,4,100,4,100,0,3,0,0,0,0
ND,0,79,F,M,W,U,B,H,0,S3,YC,,,,YC,,,,,,YC,,,,,,,,,10,10,83,5,83,5,83,0,4,0,0,0,0
ND,0,,,F,W,U,B,U,0,S4,,,,,YC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,0,1,0,0,0,0
ND,0,61,D,M,W,U,B,H,1,R1,,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,2,0,0,0,0
ND,0,74,E,F,W,U,B,H,0,S3,YC,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,6,0,0,0,0
ND,0,47,C,M,W,U,A,H,0,S4,,,,,YC,,,,,,YC,,,,,,,,,9,9,90,4,80,5,100,0,1,0,0,0,0
ND,0,64,D,M,W,U,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,5,5,50,3,60,2,40,0,1,0,0,0,0
ND,0,57,D,F,W,U,A,H,0,R2,,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,2,0,0,0,0
ND,0,43,C,F,W,U,B,H,1,S3,,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,6,0,0,0,0
