sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
NH,0,79,F,F,W,U,E,H,0,R2,,,,,AC,,,,,,,,,,,,,,,4,4,40,0,0,4,80,0,0,0,0,0,0
NH,0,39,B,F,W,D,A,U,1,R1,,,PC,D,PC,,,,,,PC,,,,,,,,,4,4,67,2,67,2,67,0,0,1,33,0,0
NH,0,65,E,M,W,,C,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,85,F,M,W,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,69,E,M,W,D,C,H,0,R1,PC,D,PC,D,PC,,,,PC,D,PC,,,,,,,,,9,9,90,5,100,4,80,1,5,4,80,5,100
NH,0,48,C,F,W,D,A,H,1,R1,,,PC,D,PC,,,,,,PC,,,,,,,,,5,5,83,2,67,3,100,0,0,2,67,0,0
NH,0,61,D,F,W,R,D,H,1,S3,PC,R,PC,,PC,,,,PC,R,PC,,,,,,,,,12,12,100,6,100,6,100,0,9,5,83,2,22
NH,0,61,D,F,W,U,A,U,0,R1,,,,,PC,,,,,,,,,,,,,,,5,5,50,1,20,4,80,0,0,1,20,0,0
NH,0,,,F,W,U,A,H,0,S4,,,PC,D,PC,,,,,,,,,,,,,,,3,3,50,0,0,3,100,0,0,1,33,0,0
NH,0,68,E,M,A,D,A,H,0,S4,PC,D,PC,D,PC,,,,PC,D,PC,,,,,,,,,12,12,100,6,100,6,100,1,3,5,83,3,100
NH,0,79,F,M,W,D,A,H,1,S3,PC,D,PC,R,AC,,,,PC,D,PC,,,,,,,,,12,12,100,6,100,6,100,0,8,5,83,4,50
NH,0,92,F,M,W,D,A,H,0,R2,PC,D,PC,D,PC,,,,,,PC,,,,,,,,,11,11,92,5,83,6,100,0,8,5,83,8,100
NH,0,,,M,W,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,,,F,W,U,A,H,0,R1,,,,,AC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,0,0,0,0,0
NH,0,31,B,F,W,U,A,H,0,R2,,,,,PC,,,,,,,,,,,,,,,3,3,50,0,0,3,100,0,0,0,0,0,0
NH,0,63,D,M,W,D,B,H,1,R1,,,,,AC,,,,,,PC,,,,,,,,,10,10,83,4,67,6,100,1,1,3,50,1,100
NH,0,81,F,M,W,U,E,H,1,S4,,,,,AC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
NH,0,61,D,F,W,R,A,H,0,R2,PC,R,PC,R,PC,,,,PC,R,PC,,,,,,,,,9,9,75,4,67,5,83,0,6,5,83,0,0
NH,0,59,D,M,W,R,A,H,1,S4,PC,R,PC,R,PC,,,,PC,R,PC,,,,,,,,,8,8,80,4,80,4,80,2,9,5,100,0,0
NH,0,53,D,F,W,R,A,H,1,S3,,,,,PC,,,,,,,,,,,,,,,8,8,80,3,60,5,100,0,0,3,60,0,0
NH,0,65,E,M,W,U,A,U,0,R1,,,,,,,,,,,PC,,,,,,,,,7,7,70,3,60,4,80,0,2,3,60,0,0
NH,0,57,D,F,W,,A,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,44,C,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,64,D,F,W,D,B,H,0,S3,PC,D,AC,D,PC,,,,,,PC,,,,,,,,,10,10,83,4,67,6,100,0,1,4,67,1,100
NH,0,43,C,M,W,U,A,U,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,,,F,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,28,A,M,W,,B,H,0,R2,,,,,PP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,,,M,W,D,A,U,0,R1,,,,,PC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
NH,0,26,A,F,W,,B,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,69,E,M,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,50,D,F,W,R,C,H,1,R1,,,PC,R,PC,,,,,,PC,,,,,,,,,9,9,90,4,80,5,100,0,0,5,100,0,0
NH,0,52,D,F,W,R,C,H,1,S3,PC,R,PC,R,PC,PC,R,PC,,,PC,,,,,,,,,10,9,100,5,100,4,100,2,5,4,100,0,0
NH,0,38,B,M,W,,E,R,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,67,E,F,W,U,A,U,1,R1,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
NH,0,28,A,M,W,L,A,U,0,S3,,,,,,,,,,,,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
NH,0,41,C,M,W,D,B,H,1,S3,PC,D,PC,D,PC,,,,PC,D,PC,,,,,,,,,3,3,100,2,100,1,100,0,3,1,100,3,100
NH,0,29,A,M,W,,C,H,1,R1,,,,,YP,,,,,,,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
NH,0,,,F,W,D,A,U,0,R1,AC,D,PC,D,AC,,,,,,AC,,,,,,,,,8,8,80,3,60,5,100,0,2,2,40,2,100
NH,0,71,E,M,W,D,A,H,1,R1,,,,,AC,,,,,,AC,,,,,,,,,6,6,75,3,75,3,75,0,1,2,50,0,0
NH,0,50,D,F,W,R,A,U,0,R1,PC,R,,,AC,,,,PC,R,AC,,,,,,,,,8,8,100,4,100,4,100,1,5,2,50,0,0
NH,0,62,D,F,W,D,C,H,1,R2,PC,D,PC,,PC,,,,,,PC,,,,,,,,,10,10,83,5,83,5,83,1,1,4,67,1,100
NH,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,,,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,92,F,M,W,R,B,H,0,S3,,,AC,R,AC,,,,,,AC,,,,,,,,,11,11,100,6,100,5,100,0,3,4,80,0,0
NH,0,45,C,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,3,3,25,0,0,3,50,0,0,0,0,0,0
NH,0,,,F,W,U,A,U,0,R1,,,,,PC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,0,0,0,0,0
NH,0,53,D,F,W,,B,R,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,81,F,M,W,R,C,H,1,R2,PC,R,PC,R,PC,,,,PC,R,PC,,,,,,,,,11,11,92,6,100,5,83,0,8,6,100,0,0
NH,0,67,E,F,W,U,C,H,1,R2,,,PC,D,PC,,,,,,PC,,,,,,,,,10,10,100,5,100,5,100,0,2,4,80,2,100
NH,0,,,F,W,,C,H,0,R2,YP,,YP,,YP,,,,,,YP,,,,,,,,,3,3,100,2,100,1,100,2,2,1,100,0,0
NH,0,30,B,M,W,R,E,U,0,S3,,,,,PC,,,,,,,,,,,,,,,2,2,33,0,0,2,67,0,0,1,33,0,0
NH,0,,,M,W,R,A,U,0,R2,,,,,PC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
