sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
SC,0,95,F,F,B,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,38,B,M,W,U,A,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,,,M,B,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,54,D,F,W,U,A,H,0,R2,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
SC,0,70,E,F,H,D,B,U,1,S4,PC,D,,,AC,,,,,,,,,,,,YP,R,,12,10,83,4,67,6,100,3,3,2,33,3,100
SC,0,49,C,F,W,U,B,U,0,S4,,,,,YC,,,,,,YC,,,,,,,,,10,10,83,4,67,6,100,0,1,0,0,1,100
SC,0,34,B,M,W,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,57,D,M,W,U,A,U,0,S3,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
SC,0,19,A,F,B,U,B,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,87,F,M,W,U,C,H,1,,,,,,YC,,,,YC,R,YC,,,,,,YC,R,,12,12,100,6,100,6,100,1,4,2,33,0,0
SC,0,63,D,F,B,U,A,H,1,R1,YC,D,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,7,0,0,7,100
SC,0,58,D,F,B,U,B,H,0,S4,,,,,YC,,,,,,,,,,,,,,,7,7,58,2,33,5,83,0,0,1,17,0,0
SC,0,24,A,F,W,U,B,H,1,R2,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
SC,0,40,C,F,W,U,A,H,1,S4,,,,,YC,,,,,,YC,,,,,,,,,3,3,50,2,67,1,33,0,0,0,0,0,0
SC,0,24,A,M,W,U,A,H,1,R2,,,,,MC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
SC,0,48,C,F,W,U,A,H,1,R2,,,,,AP,,,,,,,,,,,,,,,6,6,60,1,20,5,100,0,0,0,0,0,0
SC,0,,,F,W,,,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,42,C,M,W,U,C,H,1,S4,,,,,YC,,,,,,,,,,,,,,,2,2,17,0,0,2,33,0,0,0,0,0,0
SC,0,35,B,M,W,U,A,H,1,R2,,,,,,,,,,,,,,,,,,,,4,4,50,1,25,3,75,0,1,0,0,0,0
SC,0,50,D,F,W,U,E,U,1,S3,,,,,YC,,,,,,,,,,,,,,,1,1,20,0,0,1,50,0,0,0,0,0,0
SC,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,67,E,F,W,U,A,U,0,S3,,,,,YC,,,,,,YC,,,,,,,,,8,8,100,4,100,4,100,0,0,1,25,0,0
SC,0,61,D,F,A,U,C,H,1,S3,,,YC,,YC,,,,,,,,,,,,,,,1,1,11,0,0,1,25,0,0,1,25,0,0
SC,0,24,A,F,B,U,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,,,F,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,,,M,W,,,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,88,F,F,W,U,A,U,0,R2,,,,,AC,,,,,,,,,,AC,R,AC,R,,3,3,60,1,33,2,100,1,1,1,50,0,0
SC,0,54,D,F,B,U,A,R,0,R2,YC,,,,YC,,,,,,,,,,,,,,,8,8,67,3,50,5,83,0,1,0,0,0,0
SC,0,62,D,F,W,U,A,H,1,R1,YC,,,,YC,,,,YC,D,YC,,,,,,YC,R,,12,12,100,6,100,6,100,0,8,2,33,3,38
SC,0,69,E,M,B,,A,R,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,23,A,F,W,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,58,D,M,W,,A,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,62,D,F,W,U,C,H,1,S4,YC,,,,YC,,,,,,YC,,,,,,,,,11,11,92,6,100,5,83,0,4,2,33,0,0
SC,0,81,F,F,W,U,A,U,0,S4,YC,D,YC,,YC,,,,YC,D,YC,,,,,,YC,R,,6,5,42,3,50,2,33,2,2,2,33,2,100
SC,0,71,E,F,B,U,E,H,0,R2,YC,,YC,D,YC,,,,YC,R,YC,,,,,,,,,11,11,92,5,83,6,100,0,8,2,33,6,75
SC,0,58,D,F,B,U,A,R,0,S3,,,YC,,YC,,,,,,,,,,,,,,,10,10,83,5,83,5,83,0,2,1,17,2,100
SC,0,51,D,M,B,U,A,U,0,S3,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
SC,0,78,F,M,B,U,A,U,0,S4,,,,,AP,,,,,,AP,,,,,,,,,9,9,75,3,50,6,100,1,0,0,0,0,0
SC,0,49,C,F,W,U,C,H,1,S4,,,,,YC,,,,YC,R,YC,,,,,,,,,7,7,88,4,100,3,75,1,4,1,25,0,0
SC,0,,,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,80,F,M,W,U,C,H,1,R1,,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,1,3,1,17,1,33
SC,0,53,D,F,W,U,B,H,1,R2,YC,,,,YC,,,,,,YC,,,,,,YC,R,,8,8,67,3,50,5,83,0,2,2,33,0,0
SC,0,73,E,F,W,U,A,H,1,R1,YC,,,,YC,,,,,,YC,,,,,,YC,R,,7,7,88,3,75,4,100,0,3,1,25,0,0
SC,0,60,D,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,45,C,F,B,U,A,H,0,S3,,,,,YC,,,,,,,,,,,,,,,5,5,42,1,17,4,67,0,0,1,17,0,0
SC,0,29,A,M,W,U,A,U,1,S3,,,YC,,YC,,,,YC,D,YC,,,,,,,,,3,3,75,1,50,2,100,0,1,1,50,1,100
SC,0,63,D,F,W,U,B,H,1,R2,,,,,YC,,,,YC,R,YC,,,,,,,,,12,12,100,6,100,6,100,0,8,0,0,0,0
SC,0,30,B,M,W,U,A,H,1,R1,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
SC,0,60,D,M,B,U,C,R,0,R1,YC,D,YC,D,YC,,,,YC,D,YC,,,,,,,,,11,11,92,5,83,6,100,0,5,2,33,5,100
SC,0,69,E,M,W,U,C,H,1,R1,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
SC,0,77,F,M,W,U,B,H,1,S3,YC,D,YC,R,YC,,,,YC,D,YC,,,,,,YC,D,,12,12,100,6,100,6,100,2,4,3,50,3,75
SC,0,89,F,M,W,,B,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,34,B,F,W,U,A,H,1,R1,,,,,YC,,,,,,,,,,,,,,,5,5,71,2,50,3,100,0,0,0,0,0,0
SC,0,33,B,M,W,U,B,H,1,S3,,,YC,,YC,,,,YP,R,YP,,,,,,,,,10,10,83,4,67,6,100,0,1,2,33,0,0
SC,0,44,C,F,B,,E,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,83,F,M,W,U,A,H,1,R2,,,,,YC,,,,,,YC,,,,,,,,,4,4,50,2,50,2,50,0,0,0,0,0,0
SC,0,72,E,M,W,U,C,H,1,S4,YC,,,,YC,,,,YC,R,YC,,,,,,YC,R,,12,12,100,6,100,6,100,2,10,2,33,0,0
SC,0,21,A,M,W,U,B,H,1,R1,,,,,,,,,YC,R,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
SC,0,22,A,F,B,U,B,R,0,S4,YC,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,1,0,0,0,0
SC,0,25,A,M,W,U,A,U,1,R1,,,,,YC,,,,,,YC,,,,,,YC,R,,3,3,100,2,100,1,100,0,0,1,100,0,0
SC,0,44,C,F,B,U,A,H,0,S3,,,,,YC,,,,,,,,,,,,,,,2,2,22,0,0,2,50,0,0,0,0,0,0
SC,0,57,D,M,W,U,A,H,0,S4,,,,,,,,,,,,,,,,,,,,1,1,11,0,0,1,25,0,0,0,0,0,0
SC,0,55,D,M,B,U,A,U,0,R2,,,,,,,,,,,,,,,,,,,,6,6,60,2,40,4,80,0,0,1,20,0,0
SC,0,75,F,M,B,U,C,H,1,R1,YC,D,YC,D,YC,,,,YC,D,YC,,,,,,,,,11,11,92,6,100,5,83,0,7,3,50,7,100
SC,0,19,A,F,W,U,B,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,75,F,M,W,U,B,H,1,S3,YC,R,,,YC,,,,YC,R,YC,,,,,,YC,R,,3,3,100,2,100,1,100,0,3,1,100,0,0
SC,0,39,B,F,W,U,E,H,1,S3,,,,,YC,,,,YC,R,YC,,,,,,,,,9,9,90,4,80,5,100,1,2,2,40,0,0
SC,0,38,B,M,B,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,67,E,F,W,U,C,H,0,S4,YC,D,YC,,YC,,,,,,YC,,,,,,YC,,,11,11,92,5,83,6,100,0,2,3,50,2,100
SC,0,77,F,F,W,,A,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,42,C,M,W,U,B,H,1,S4,,,YC,,YC,,,,,,YC,,,,,,YC,R,,4,4,100,2,100,2,100,2,1,2,100,0,0
SC,0,52,D,F,W,U,B,H,1,S3,,,,,YC,,,,YC,R,YC,,,,,,YC,R,,8,8,80,4,80,4,80,2,4,2,40,0,0
SC,0,55,D,M,B,U,A,H,1,S4,,,YC,,YC,,,,,,,,,,,,,,,6,6,75,2,50,4,100,0,0,1,25,0,0
SC,0,29,A,M,W,,B,H,1,S3,,,,,YC,,,,,,,,,,,,,,,2,2,33,0,0,2,67,0,1,0,0,0,0
SC,0,67,E,M,B,U,A,H,0,S4,,,,,YC,,,,YC,R,YC,,,,,,,,,10,10,100,5,100,5,100,0,1,1,20,0,0
