sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
SD,0,55,D,U,W,,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,U,W,R,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,49,C,F,W,U,B,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,60,D,F,W,,A,H,0,R2,AP,,PP,,AP,,,,PP,,PP,,,,,,,,,12,12,100,6,100,6,100,2,6,1,17,0,0
SD,0,20,A,F,W,R,B,H,0,,,,,,,,,,PC,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0
SD,0,,,F,W,,B,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,F,W,R,,U,0,R1,PC,,,,PC,,,,PC,,PC,,,,PC,,,,,2,2,100,1,100,1,100,1,3,1,100,0,0
SD,0,44,C,F,W,,A,R,1,R1,,,,,PP,,,,YP,,YP,,,,,,,,,4,4,50,2,50,2,50,0,2,0,0,0,0
SD,0,29,A,F,W,U,B,H,1,S4,,,,,,,,,,,,,,,,,,,,1,1,20,1,33,0,0,0,0,0,0,0,0
SD,0,,,U,H,D,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,F,W,,,H,1,R2,,,,,AC,,,,,,,,,,,,,,,10,10,83,5,83,5,83,0,3,1,17,0,0
SD,0,36,B,F,W,D,B,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,38,B,M,W,R,E,H,0,S3,PC,,,,AC,,,,AC,,PC,,,,,,,,,7,7,88,3,75,4,100,1,3,1,25,0,0
SD,0,63,D,M,W,R,E,H,1,R1,,,,,PC,,,,,,AC,,,,,,,,,7,7,88,3,75,4,100,0,1,1,25,0,0
SD,0,,,M,W,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,M,W,R,A,R,0,R1,,,,,PC,,,,PC,,PC,,,,,,,,,4,4,100,2,100,2,100,0,2,0,0,0,0
SD,0,54,D,M,W,R,B,H,0,R1,,,,,PC,,,,PC,,PC,,,,,,,,,6,6,100,3,100,3,100,1,2,0,0,0,0
SD,0,34,B,F,H,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,66,E,M,W,,A,R,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,81,F,M,W,U,B,H,0,S3,,,,,AC,,,,,,AC,,,,,,,,,12,12,100,6,100,6,100,0,2,1,17,0,0
SD,0,60,D,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,U,W,R,A,U,1,R2,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
SD,0,,,F,W,D,A,U,0,,,,,,PC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
SD,0,,,U,W,D,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,M,U,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,43,C,M,W,R,A,U,0,R1,,,,,PC,,,,,,PC,,,,,,,,,3,3,100,2,100,1,100,0,0,0,0,0,0
