sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
VT,0,,,F,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,61,D,M,W,U,A,U,1,,,,,,YC,,,,,,,,,,,,,,,4,4,50,0,0,4,100,0,0,1,25,0,0
VT,0,,,M,W,,A,H,1,R1,PP,D,PP,D,PP,,,,PP,D,PP,,,,,,,,,4,4,100,2,100,2,100,0,2,2,100,2,100
VT,0,85,F,F,W,U,B,H,0,R1,AC,,YC,,YC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,0,7,4,67,0,0
VT,0,84,F,F,W,,A,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,39,B,F,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,77,F,F,U,U,,U,0,R1,PC,,YC,D,YC,,,,,,YC,,,,,,,,,8,8,100,4,100,4,100,0,3,2,50,0,0
VT,0,74,E,F,W,U,B,H,0,R1,AC,,YC,,YC,,,,,,YC,,,,,,,,,10,10,100,5,100,5,100,0,4,3,60,0,0
VT,0,72,E,M,W,U,A,R,0,R1,AC,,,,YC,,,,,,YC,,,,,,,,,4,4,100,2,100,2,100,0,2,0,0,0,0
VT,0,92,F,M,W,U,C,R,0,R1,YP,,YP,,YP,,,,YP,,YP,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,84,F,F,H,U,A,U,0,R1,,,,,,,,,,,YC,,,,,,,,,3,3,25,2,33,1,17,0,0,0,0,0,0
VT,0,40,C,F,W,,E,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,41,C,M,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,68,E,M,W,U,A,H,0,R2,,,,,YC,,,,,,,,,,,,,,,1,1,8,0,0,1,17,0,0,1,17,0,0
VT,0,29,A,M,A,,B,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,46,C,M,W,U,E,H,0,R1,,,,,,,,,,,,,,,,,,,,1,1,17,0,0,1,33,0,0,0,0,0,0
VT,0,32,B,F,W,U,B,H,1,S3,,,,,YC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
VT,0,26,A,M,W,U,A,H,1,R1,,,,,YC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,0,0,0,0
VT,0,63,D,M,W,U,B,H,0,R1,,,,,YC,,,,,,YC,,,,,,,,,6,6,67,2,40,4,100,0,0,2,50,0,0
VT,0,18,A,M,W,U,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,80,F,M,W,U,C,H,1,S4,AC,,YC,D,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,6,3,50,0,0
VT,0,22,A,M,W,U,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,39,B,F,W,,C,H,0,R1,MP,,MP,,MP,MP,,MP,MP,,MP,,,,,,MP,,,8,4,100,2,100,2,100,5,6,2,100,0,0
VT,0,28,A,M,W,,A,H,1,R2,,,,,,,,,,,YP,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
VT,0,80,F,F,W,U,B,H,0,R1,,,YC,,YC,,,,,,YC,,,,,,,,,9,9,90,5,100,4,80,0,3,3,60,0,0
VT,0,54,D,M,W,U,A,U,1,R1,,,,,YC,,,,,,,,,,,,,,,5,5,63,1,25,4,100,0,0,0,0,0,0
VT,0,68,E,F,W,U,C,H,1,R1,,,,,YC,,,PP,PP,,PP,,,,,,,,,8,7,70,3,60,4,80,2,1,1,20,0,0
VT,0,25,A,M,W,U,A,U,0,R2,AC,,YC,,YC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,0,1,1,100,0,0
VT,0,59,D,F,W,U,C,H,0,R1,AC,,YC,D,YC,,,,,,YC,,,,,,,,,8,8,89,4,80,4,100,0,2,4,100,0,0
VT,0,59,D,M,W,U,A,U,0,R2,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
VT,0,63,D,F,W,U,A,H,1,R1,PC,,YC,D,YC,,,,,,YC,,,,,,,,,9,9,75,4,67,5,83,0,1,2,33,0,0
VT,0,45,C,F,W,U,B,H,1,R1,,,YC,D,YC,,,,,,YC,,,,,,,,,9,9,90,4,80,5,100,0,2,2,40,0,0
VT,0,36,B,F,W,U,E,H,0,R1,,,,,YC,,,,,,,,,,,,,,,6,6,75,2,50,4,100,0,1,1,25,0,0
VT,0,61,D,F,W,U,C,H,0,R2,,,,,YC,,,,,,YC,,,,,,,,,4,4,50,1,25,3,75,0,0,0,0,0,0
VT,0,82,F,M,W,L,B,U,0,R1,,,,,MC,,,,,,MC,,,,,,,,,4,4,100,2,100,2,100,2,1,0,0,0,0
VT,0,67,E,F,W,U,A,H,1,R2,,,,,YC,,,,,,YC,,,,,,,,,3,3,30,1,20,2,40,0,0,0,0,0,0
VT,0,38,B,M,W,U,E,H,1,R1,AC,,,,YC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,1,0,0,0,0
VT,0,54,D,F,W,,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,60,D,F,W,U,C,H,0,R2,AC,,YC,D,YC,,,,,,YC,,,,,,,,,8,8,100,4,100,4,100,0,2,2,50,0,0
VT,0,47,C,F,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
VT,0,83,F,F,W,,E,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,60,D,F,W,U,A,U,0,R1,AC,,,,YC,,,,,,,,,,,,,,,5,5,63,1,25,4,100,0,2,1,25,0,0
VT,0,23,A,F,W,U,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,2,1,33,0,0,1,100,1,1,0,0,0,0
VT,0,,,M,W,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,52,D,F,W,U,C,H,1,S4,AC,,YC,D,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,3,4,67,0,0
VT,0,56,D,M,W,U,B,H,1,S3,,,,,YC,,,,,,YC,,,,,,,,,11,11,92,5,83,6,100,0,0,2,33,0,0
VT,0,,,M,U,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,69,E,F,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,,,F,U,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,63,D,M,W,U,A,H,0,R1,,,,,YC,,,,,,YC,,,,,,,,,5,5,63,2,50,3,75,0,0,0,0,0,0
VT,0,71,E,F,U,,E,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,72,E,M,W,,A,H,0,S3,,,YP,,YP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,74,E,F,W,U,E,U,0,R1,AC,,,,YC,,,,,,,,,,,,,,,3,3,43,1,25,2,67,0,1,0,0,0,0
VT,0,72,E,F,W,U,A,H,0,R2,MP,,,,MP,PP,,PP,PP,,PP,,,,,,,,,23,12,100,6,100,6,100,11,8,2,33,1,13
VT,0,81,F,M,W,U,B,H,1,R2,AC,,YC,,YC,,,,,,YC,,,,,,,,,11,11,92,5,83,6,100,0,1,4,67,0,0
VT,0,51,D,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,,,F,W,,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,81,F,F,W,U,E,H,1,R1,,,YC,R,YC,,,,,,YC,,,,,,,,,6,6,100,3,100,3,100,0,2,2,67,0,0
VT,0,58,D,M,W,U,B,H,1,S3,,,YC,D,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,0,2,4,67,0,0
VT,0,24,A,F,W,U,B,U,1,S4,,,,,,,,,,,YC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
VT,0,23,A,F,W,U,A,U,0,S4,PC,,YC,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,1,1,100,0,0
VT,0,38,B,F,W,U,,H,1,R1,YP,,YP,,YP,,,,,,YC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
VT,0,52,D,F,W,U,A,U,1,R2,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
VT,0,72,E,M,W,U,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,17,0,0
VT,0,33,B,M,W,U,B,U,0,S4,PC,,YC,,YC,,,,,,,,,,,,,,,5,5,63,1,25,4,100,0,3,2,50,0,0
VT,0,77,F,F,W,U,C,H,1,R2,AC,,YC,,YC,,,,,,YC,,,,,,,,,8,8,100,4,100,4,100,0,4,2,50,0,0
VT,0,50,D,F,W,,E,R,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,34,B,F,W,U,C,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,27,A,M,W,U,A,U,0,R1,YP,,,,YP,,,,,,YC,,,,,,,,,2,2,40,1,33,1,50,0,1,0,0,0,0
VT,0,25,A,F,W,U,A,U,0,S4,PC,,,,YC,,,,,,,,,,,,,,,3,3,75,1,50,2,100,0,1,1,50,0,0
VT,0,63,D,M,W,U,A,U,1,R1,AC,,YC,D,YC,,,,,,YC,,,,,,,,,11,11,92,6,100,5,83,0,4,4,67,0,0
VT,0,24,A,M,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,1,1,33,1,50,0,0,0,0,0,0,0,0
VT,0,72,E,F,W,U,A,U,0,,AC,,YC,D,YC,,,,,,YC,,,,,,,,,6,6,50,3,50,3,50,0,1,1,17,0,0
