sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
WY,0,,,M,W,R,A,U,0,R1,,,,,,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
WY,0,,,M,W,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,,,F,W,,A,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,57,D,F,W,R,A,H,1,R2,,,,,PC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
WY,0,64,D,F,W,R,E,H,1,R2,PC,,,,PC,,,,YC,,YC,,,,,,,,,8,8,67,4,67,4,67,0,6,0,0,0,0
WY,0,44,C,M,W,,B,H,1,S3,PC,,,,AC,,,,,,,,,,,,,,,6,6,67,2,40,4,100,0,5,0,0,0,0
WY,0,,,F,W,R,A,U,0,R2,,,,,AP,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
WY,0,,,F,W,,A,H,0,R1,,,,,PC,,,,,,,,,,,,,,,4,4,57,2,50,2,67,0,1,0,0,0,0
WY,0,80,F,M,W,R,A,H,1,R1,PC,,,,PC,,,,YC,,YC,,,,,,,,,3,3,100,2,100,1,100,0,3,0,0,0,0
WY,0,43,C,F,W,R,A,H,1,S3,AC,,,,AC,,,,YC,,YC,,,,,,,,,11,11,92,6,100,5,83,0,7,0,0,0,0
WY,0,,,M,W,U,A,H,0,S3,,,,,,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
WY,0,65,E,F,W,R,A,H,1,S3,AC,,,,AC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,7,0,0,0,0
WY,0,45,C,M,W,,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,78,F,F,W,R,B,H,1,R1,AC,,,,AC,,,,YC,,YC,,,,,,,,,5,5,42,3,50,2,33,0,5,0,0,0,0
WY,0,42,C,M,W,R,B,H,1,R1,PC,,,,PC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,5,0,0,0,0
WY,0,62,D,F,W,R,A,H,0,R1,,,,,AC,,,,YC,,YC,,,,,,,,,2,2,100,1,100,1,100,0,1,0,0,0,0
WY,0,85,F,F,W,R,A,H,1,R1,,,,,PC,,,,,,,,,,,,,,,3,3,43,1,25,2,67,0,2,0,0,0,0
WY,0,71,E,M,W,R,C,H,0,S3,,,,,AC,,,,YC,,YC,,,,,,,,,11,11,92,5,83,6,100,0,3,0,0,0,0
WY,0,66,E,M,W,,C,H,1,R1,,,,,PC,,,,YC,,,,,,,,,,,3,3,30,1,20,2,40,0,1,0,0,0,0
WY,0,,,M,W,R,A,U,0,R1,,,,,PC,,,,YC,,YC,,,,,,,,,2,2,33,1,33,1,33,0,1,0,0,0,0
WY,0,63,D,M,W,R,E,R,1,R2,,,,,AC,,,,,,YC,,,,,,,,,11,11,92,5,83,6,100,0,1,0,0,0,0
WY,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,93,F,F,U,,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,72,E,M,W,R,A,H,0,R1,PC,,,,PC,,,,YC,,YC,,,,,,,,,3,3,100,2,100,1,100,0,2,0,0,0,0
WY,0,,,F,W,R,A,H,1,R1,PC,,,,PC,,,,YC,,YC,,,,,,,,,2,2,100,1,100,1,100,0,2,0,0,0,0
WY,0,,,F,W,R,A,U,0,,YC,,,,YC,,,,YC,,YC,,,,,,,,,4,4,80,3,100,1,50,0,4,0,0,0,0
WY,0,,,M,W,,,U,0,S3,,,,,,,,,,,,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
WY,0,56,D,M,W,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,,,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,68,E,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,,,M,W,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,76,F,F,W,,A,H,0,R1,,,,,PP,,,,,,PP,,,,PP,D,,,,2,2,100,1,100,1,100,0,1,1,100,1,100
WY,0,,,M,H,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,36,B,M,W,R,A,H,0,R2,,,,,PP,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
WY,0,77,F,F,W,R,C,H,1,R2,AC,,,,AC,,,,YC,,,,,,,,,,,11,11,92,5,83,6,100,0,7,0,0,0,0
WY,0,79,F,U,H,,C,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,,,U,W,R,A,H,0,R1,,,,,PC,,,,YC,,YC,,,,,,,,,2,2,100,1,100,1,100,0,1,0,0,0,0
WY,0,66,E,M,W,U,A,U,1,S3,,,,,YC,,,,YP,,YP,,,,,,,,,7,7,78,3,60,4,100,4,1,0,0,0,0
WY,0,86,F,M,H,R,C,H,1,R2,PC,,,,AC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,4,0,0,2,50
WY,0,51,D,F,W,,A,H,0,R2,PC,R,,,PC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,0,5,0,0,0,0
WY,0,,,F,W,R,A,U,0,R1,,,,,PC,,,,YC,,YC,,,,,,,,,2,2,50,1,50,1,50,0,1,0,0,0,0
WY,0,44,C,M,W,R,B,H,0,S3,PP,,,,PP,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
WY,0,55,D,M,W,U,B,U,0,R2,,,,,YC,,,,YP,,YP,,,,,,,,,9,9,100,5,100,4,100,0,2,1,25,0,0
WY,0,28,A,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,64,D,F,H,,B,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,,,F,U,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,,,F,W,D,A,U,0,R2,,,,,,,,,,,YC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
WY,0,30,B,F,W,,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,,,M,W,,A,H,1,R2,,,MP,,MP,,,,,,MP,,,,,,,,,2,2,100,1,100,1,100,1,0,1,100,0,0
WY,0,,,F,W,R,A,U,0,R2,AC,,,,AC,,,,YC,,YC,,,,,,,,,5,5,50,3,60,2,40,0,5,0,0,0,0
WY,0,41,C,M,W,,E,H,0,R1,,,,,PP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,51,D,M,W,U,A,H,1,R1,,,,,AC,,,,,,AC,,,,,,,,,4,4,44,1,20,3,75,0,0,0,0,0,0
WY,0,54,D,M,H,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,68,E,F,W,R,B,H,1,R1,PC,,,,PC,,,,YC,,,,,,,,,,,4,4,80,2,67,2,100,0,3,0,0,0,0
WY,0,46,C,F,W,R,C,H,1,R1,AP,,,,AP,,,,YC,,YC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
WY,0,50,D,F,N,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
