year,state,D_pv,R_pv,D_pv2p,R_pv2p,D_pv_lag1,R_pv_lag1,D_pv2p_lag1,R_pv2p_lag1,D_pv_lag2,R_pv_lag2,D_pv2p_lag2,R_pv2p_lag2,margin,winner
1948,Alabama,0,19.03898037,0,100,NA,NA,NA,NA,NA,NA,NA,NA,-100,R
1948,Arizona,53.7943693,43.82401943,55.10679904,44.89320096,NA,NA,NA,NA,NA,NA,NA,NA,10.213598079999997,D
1948,Arkansas,61.72141458,21.01618724,74.59898912,25.40101088,NA,NA,NA,NA,NA,NA,NA,NA,49.19797824,D
1948,California,47.5721975,47.12796448,50.23454713,49.76545287,NA,NA,NA,NA,NA,NA,NA,NA,0.46909426000000565,D
1948,Colorado,51.87670916,46.52499723,52.71931866,47.28068134,NA,NA,NA,NA,NA,NA,NA,NA,5.438637319999998,D
1948,Connecticut,47.91039911,49.54669854,49.16050269,50.83949731,NA,NA,NA,NA,NA,NA,NA,NA,-1.6789946199999974,R
1948,Delaware,48.76072279,50.03703091,49.35408039,50.64591961,NA,NA,NA,NA,NA,NA,NA,NA,-1.29183922,R
1948,Florida,48.81700289,33.63323021,59.20784096,40.79215904,NA,NA,NA,NA,NA,NA,NA,NA,18.415681919999997,D
1948,Georgia,60.80895206,18.31365638,76.85407908,23.14592092,NA,NA,NA,NA,NA,NA,NA,NA,53.70815816000001,D
1948,Idaho,49.98231044,47.25625652,51.40173493,48.59826507,NA,NA,NA,NA,NA,NA,NA,NA,2.803469860000007,D
1948,Illinois,50.0675695,49.22390454,50.4248426,49.5751574,NA,NA,NA,NA,NA,NA,NA,NA,0.8496851999999961,D
1948,Indiana,48.77588283,49.5756587,49.59340959,50.40659041,NA,NA,NA,NA,NA,NA,NA,NA,-0.8131808199999995,R
1948,Iowa,50.31244221,47.58078808,51.39522116,48.60477884,NA,NA,NA,NA,NA,NA,NA,NA,2.790442319999997,D
1948,Kansas,44.61124795,53.62941308,45.41016671,54.58983329,NA,NA,NA,NA,NA,NA,NA,NA,-9.179666580000003,R
1948,Kentucky,56.73755072,41.47653095,57.76926257,42.23073743,NA,NA,NA,NA,NA,NA,NA,NA,15.538525140000004,D
1948,Louisiana,32.74854925,17.45152953,65.2360515,34.7639485,NA,NA,NA,NA,NA,NA,NA,NA,30.472103000000004,D
1948,Maine,42.26610622,56.73725117,42.69158879,57.30841121,NA,NA,NA,NA,NA,NA,NA,NA,-14.616822420000005,R
1948,Maryland,48.01478043,49.40450954,49.28672796,50.71327204,NA,NA,NA,NA,NA,NA,NA,NA,-1.4265440799999993,R
1948,Massachusetts,54.6610439,43.156478,55.88062633,44.11937367,NA,NA,NA,NA,NA,NA,NA,NA,11.761252659999997,D
1948,Michigan,47.56559154,49.23163487,49.13941577,50.86058423,NA,NA,NA,NA,NA,NA,NA,NA,-1.7211684600000012,R
1948,Minnesota,57.16475311,39.89495358,58.89648244,41.10351756,NA,NA,NA,NA,NA,NA,NA,NA,17.79296488,D
1948,Mississippi,10.08585254,2.623965867,79.3548123,20.6451877,NA,NA,NA,NA,NA,NA,NA,NA,58.709624600000005,D
1948,Missouri,58.10837005,41.49419623,58.34023382,41.65976618,NA,NA,NA,NA,NA,NA,NA,NA,16.680467640000003,D
1948,Montana,53.09080694,43.14734392,55.16607132,44.83392868,NA,NA,NA,NA,NA,NA,NA,NA,10.33214264,D
1948,Nebraska,45.84713871,54.15265677,45.84723248,54.15276752,NA,NA,NA,NA,NA,NA,NA,NA,-8.305535039999995,R
1948,Nevada,50.37429367,47.26081427,51.59444664,48.40555336,NA,NA,NA,NA,NA,NA,NA,NA,3.188893280000002,D
1948,New Hampshire,46.66220187,52.41055997,47.09892104,52.90107896,NA,NA,NA,NA,NA,NA,NA,NA,-5.802157919999999,R
1948,New Jersey,45.93125098,50.32553583,47.71741557,52.28258443,NA,NA,NA,NA,NA,NA,NA,NA,-4.56516886,R
1948,New Mexico,56.37886701,42.92831827,56.77219312,43.22780688,NA,NA,NA,NA,NA,NA,NA,NA,13.544386239999994,D
1948,New York,44.99802703,45.98465777,49.45779203,50.54220797,NA,NA,NA,NA,NA,NA,NA,NA,-1.0844159399999995,R
1948,North Carolina,58.02133191,32.68061915,63.96922142,36.03077858,NA,NA,NA,NA,NA,NA,NA,NA,27.938442839999993,D
1948,North Dakota,43.40963048,52.16613204,45.41907836,54.58092164,NA,NA,NA,NA,NA,NA,NA,NA,-9.16184328,R
1948,Ohio,49.48078572,49.23872754,50.12259895,49.87740105,NA,NA,NA,NA,NA,NA,NA,NA,0.24519789999999375,D
1948,Oklahoma,62.74703817,37.25296183,62.74703817,37.25296183,NA,NA,NA,NA,NA,NA,NA,NA,25.494076340000007,D
1948,Oregon,46.39501603,49.7832392,48.2385711,51.7614289,NA,NA,NA,NA,NA,NA,NA,NA,-3.522857799999997,R
1948,Pennsylvania,46.91717704,50.92695122,47.95093776,52.04906224,NA,NA,NA,NA,NA,NA,NA,NA,-4.098124479999996,R
1948,Rhode Island,57.59378948,41.43612184,58.15797339,41.84202661,NA,NA,NA,NA,NA,NA,NA,NA,16.315946780000004,D
1948,South Carolina,24.14446136,3.777766867,86.47039614,13.52960386,NA,NA,NA,NA,NA,NA,NA,NA,72.94079228000001,D
