sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
AK,0,39,B,M,W,U,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,67,E,M,W,,A,H,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,,,M,W,U,A,U,0,R2,PC,,,,AC,,,,,,,,,,,,,,,3,3,50,1,33,2,67,3,2,0,0,0,0
AK,0,,,M,U,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,,,M,W,R,A,U,0,,PC,,,,PC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,2,0,0,0,0
AK,0,,,F,W,U,A,U,1,,,,,,PC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
AK,0,39,B,M,A,U,,U,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,0,0,0,0,0
AK,0,,,F,W,R,A,U,0,,,,,,PC,,,,,,,,,,,,,,,4,4,67,1,33,3,100,0,0,0,0,0,0
AK,0,,,M,W,U,A,U,0,R2,,,,,,,,,,,,,,,,,,,,3,3,33,1,20,2,50,2,0,0,0,0,0
AK,0,56,D,F,W,L,A,U,0,,,,,,,,,,,,,,,,,,,,,3,3,25,2,33,1,17,0,1,0,0,0,0
AK,0,60,D,M,W,U,A,H,0,U5,,,,,AC,,,,,,PC,,,,,,,,,11,11,92,5,83,6,100,4,3,0,0,0,0
AK,0,,,F,W,R,,R,0,,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
AK,0,,,M,W,U,A,U,1,,PC,,,,,,,,,,PC,,,,,,,,,1,1,33,1,50,0,0,0,2,0,0,0,0
AK,0,,,M,W,U,A,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,39,B,F,W,D,B,U,0,S4,AC,,,,AC,,,,,,AC,,,,,,,,,6,6,60,3,60,3,60,2,3,0,0,0,0
AK,0,77,F,M,W,R,A,U,0,,,,,,PC,,,,,,PC,,,,,,,,,9,9,90,4,80,5,100,1,1,0,0,0,0
AK,0,45,C,F,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,27,A,M,W,U,A,U,1,R2,PP,R,,,YC,,,,,,PP,,,,,,,,,12,12,100,6,100,6,100,1,10,5,83,0,0
AK,0,,,U,U,,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,,,F,W,,B,H,0,U5,EP,,,,EP,,,,,,PP,,,,,,,,,12,12,100,6,100,6,100,4,9,0,0,0,0
AK,0,,,M,W,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,,,M,U,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,,,M,W,D,,U,0,U5,,,,,,,,,,,AC,,,,,,,,,1,1,100,1,100,0,0,0,1,0,0,0,0
AK,0,,,F,W,U,A,U,0,R2,PC,,,,AC,,,,,,PC,,,,,,,,,7,7,78,5,100,2,50,5,6,0,0,0,0
AK,0,,,F,W,,C,U,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,72,E,M,W,U,A,U,1,S4,,,,,PC,,,,,,PC,,,,,,,,,2,2,67,1,50,1,100,1,0,0,0,0,0
AK,0,76,F,F,W,U,A,H,1,R1,AC,,,,AC,,,,,,,,,,,,,,,7,7,58,1,17,6,100,0,2,0,0,0,0
AK,0,71,E,F,W,U,A,H,0,R1,AC,,,,AC,,,,,,AC,,,,,,,,,9,9,90,4,80,5,100,4,8,0,0,0,0
AK,0,35,B,F,W,U,A,U,0,,QC,,,,PC,,,,,,PC,,,,,,,,,5,5,63,2,50,3,75,1,1,0,0,0,0
AK,0,40,C,F,W,U,E,H,0,R1,,,,,,,,,,,,,,,,,,,,1,1,17,0,0,1,33,0,0,0,0,0,0
AK,0,,,F,W,R,A,U,0,R1,,,,,,,,,,,,,,,,,,,,3,3,25,1,17,2,33,0,0,0,0,0,0
AK,0,39,B,F,W,U,B,H,0,U5,AC,,,,AC,,,,,,PC,,,,,,,,,5,5,100,3,100,2,100,3,3,0,0,0,0
AK,0,,,F,W,,B,H,0,S4,PP,,,,PP,,,,,,PP,,,,,,,,,9,9,100,5,100,4,100,2,2,0,0,0,0
AK,0,64,D,F,W,R,B,H,1,R2,PC,,,,PC,,,,,,EC,,,,,,,,,11,11,92,5,83,6,100,7,9,0,0,0,0
AK,0,,,M,U,U,A,U,0,R2,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
AK,0,,,F,W,U,A,H,0,R2,,,,,PC,,,,,,,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
AK,0,55,D,M,W,R,A,H,1,R2,,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,2,4,0,0,0,0
AK,0,54,D,M,W,U,B,H,1,S4,,,,,AC,,,,,,PC,,,,,,,,,11,11,92,5,83,6,100,5,1,0,0,0,0
AK,0,,,F,W,U,A,U,0,R2,,,,,AC,,,,,,,,,,,,,,,1,1,14,0,0,1,33,0,0,0,0,0,0
AK,0,,,F,A,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,61,D,F,W,R,A,U,0,S4,,,,,EP,,,,,,EP,,,,,,,,,3,3,50,1,33,2,67,0,2,1,33,0,0
AK,0,68,E,M,W,U,B,U,0,,,,,,,,,,,,,,,,,,,,,2,2,40,1,33,1,50,0,0,0,0,0,0
AK,0,78,F,F,W,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,4,4,33,0,0,4,67,1,1,0,0,0,0
AK,0,60,D,F,N,U,A,U,0,R1,,,,,AC,,,,,,AC,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
AK,0,,,F,U,U,A,U,0,R1,,,,,PC,,,,,,,,,,,,,,,10,10,83,4,67,6,100,4,6,0,0,0,0
AK,0,44,C,F,W,D,C,U,0,R2,AC,,,,EC,,,,,,PC,,,,,,,,,9,9,100,5,100,4,100,7,9,0,0,0,0
AK,0,,,F,U,L,A,U,0,,,,,,AC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
AK,0,56,D,F,W,,C,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,,,M,U,U,,U,0,U5,PC,,,,PC,,,,,,,,,,,,,,,9,9,75,5,83,4,67,3,9,0,0,0,0
AK,0,43,C,M,W,,E,R,0,R2,,,,,YP,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
AK,0,91,F,M,W,U,E,H,0,S4,AC,,,,AC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,2,11,0,0,0,0
AK,0,,,M,W,U,A,U,0,,,,,,,,,,,,,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
AK,0,,,M,W,U,A,H,0,R2,PC,,,,PC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,7,8,0,0,0,0
AK,0,85,F,F,B,U,A,H,0,S4,,,,,AC,,,,,,PC,,,,,,,,,10,10,83,4,67,6,100,3,3,0,0,0,0
AK,0,,,F,W,D,B,U,0,S3,,,,,AC,,,,,,,,,,,,,,,3,3,75,1,50,2,100,2,0,0,0,0,0
AK,0,68,E,F,W,R,A,U,0,,PC,,,,PC,,,,,,PC,,,,,,,,,10,10,83,5,83,5,83,4,5,0,0,0,0
AK,0,,,M,W,R,A,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,37,B,M,W,R,E,H,1,R2,,,,,AC,,,,,,AC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
AK,0,,,M,W,U,A,U,0,U5,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
AK,0,64,D,M,W,U,C,H,1,S4,PC,,,,EC,,,,,,EC,,,,,,,,,12,12,100,6,100,6,100,6,11,0,0,0,0
AK,0,,,F,W,U,A,U,0,,,,,,,,,,,,PC,,,,,,,,,1,1,50,1,100,0,0,0,1,0,0,0,0
