sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
AR,0,30,B,M,W,U,,H,0,R2,,,,,EC,,,,PC,D,PC,,,,,,,,,6,6,100,3,100,3,100,0,1,0,0,1,100
AR,0,42,C,M,W,U,A,U,1,S4,,,,,MP,,,,,,,,,,,,,,,2,2,20,1,20,1,20,0,0,0,0,0,0
AR,0,79,F,F,W,U,A,H,1,S3,,,,,AC,,,,,,,,,,,,,,,8,8,67,2,33,6,100,0,1,0,0,1,100
AR,0,36,B,F,W,U,A,H,1,R1,,,,,EC,,,,,,EC,,,,,,,,,2,2,40,1,33,1,50,0,0,0,0,0,0
AR,0,73,E,F,W,U,A,H,1,R2,EC,R,,,EC,,,,EC,R,EC,,,,EC,R,,,,12,12,100,6,100,6,100,0,8,3,50,1,13
AR,0,73,E,F,W,U,A,U,0,R2,,,,,EC,,,,,,EC,,,,,,,,,6,6,55,2,33,4,80,0,1,2,40,0,0
AR,0,40,C,F,B,U,E,U,1,R2,EP,D,,,EP,,,,EP,D,PC,,,,,,,,,7,7,64,4,67,3,60,0,1,2,40,0,0
AR,0,60,D,M,W,U,A,U,0,R1,,,,,EC,,,,,,,,,,,,,,,3,3,38,0,0,3,75,0,0,0,0,0,0
AR,0,36,B,F,W,U,B,H,0,R1,,,,,QC,,,,,,,,,,,,,,,2,2,40,0,0,2,100,0,0,0,0,0,0
AR,0,33,B,F,W,U,A,H,0,R1,,,,,,,,,PC,R,EC,,,,EC,R,,,,3,3,60,2,67,1,50,0,2,1,50,0,0
AR,0,91,F,M,W,,B,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,56,D,F,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,26,A,M,W,U,B,U,1,S4,,,,,,,,,,,EC,,,,,,,,,1,1,25,1,50,0,0,0,0,0,0,0,0
AR,0,45,C,F,W,,E,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,29,A,M,W,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,22,A,M,W,U,B,R,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,35,B,M,W,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,81,F,F,W,U,A,H,0,R1,,,,,EC,,,,,,EC,,,,,,,,,8,8,80,3,60,5,100,0,0,0,0,0,0
AR,0,66,E,M,W,U,A,H,0,R1,PC,R,,,EC,,,,PC,R,PC,,,,PC,R,,,,6,6,75,3,75,3,75,0,5,2,50,0,0
AR,0,43,C,M,W,,B,H,1,S3,,,,,,,,,,,,,,,,,,,,7,7,70,3,60,4,80,0,1,2,40,1,100
AR,0,68,E,M,B,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,63,D,F,W,U,A,H,1,S4,MP,,MP,,MP,,,,PC,R,EC,,,,,,MP,U,,11,11,92,5,83,6,100,1,3,3,50,0,0
AR,0,80,F,M,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,56,D,F,W,U,E,H,0,S3,,,,,EC,,,,,,PC,,,,,,,,,11,11,100,6,100,5,100,0,0,0,0,0,0
AR,0,31,B,U,A,U,B,U,0,S4,,,,,YP,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
AR,0,43,C,F,W,U,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,31,B,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,30,B,M,H,U,E,H,0,S3,,,,,EC,,,,PC,R,PC,,,,,,,,,3,3,50,1,33,2,67,0,1,0,0,0,0
AR,0,49,C,F,W,,B,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
