sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
IA,0,62,D,F,H,D,B,U,0,S4,AC,D,,,AC,,,,,,,,,,,,,,,5,5,42,2,33,3,50,1,1,0,0,1,100
IA,0,65,E,F,W,U,E,H,1,S3,AC,D,,,AC,,,,PC,D,PC,,,,,,,,,7,7,100,4,100,3,100,4,4,0,0,3,75
IA,0,28,A,M,W,U,B,U,0,S3,YP,,,,YP,,,,,,,,,,,,,,,4,4,80,2,67,2,100,0,3,0,0,0,0
IA,0,49,C,M,H,R,B,H,1,R1,,,,,AC,,,,,,PC,,,,,,,,,6,6,100,3,100,3,100,1,1,0,0,0,0
IA,0,90,F,F,W,R,A,H,0,R1,AC,R,,,AC,,,,,,,,,,,,,,,11,10,83,4,67,6,100,9,3,0,0,0,0
IA,0,38,B,F,W,R,A,H,0,S3,,,,,PC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
IA,0,91,F,M,W,,A,H,1,R1,,,,,PC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,1,0,0,0,0,0
IA,0,49,C,F,H,D,B,H,0,R2,,,,,AC,,,,,,,,,,,,,,,6,6,75,2,50,4,100,0,0,0,0,0,0
IA,0,24,A,M,W,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,0,46,C,M,W,R,A,H,1,R1,,,,,PC,,,,,,PC,,,,,,,,,5,5,42,2,33,3,50,2,0,0,0,0,0
