sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
KY,0,64,D,F,W,R,B,H,1,R2,,,,,YP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0
KY,0,71,E,F,B,D,A,U,0,S4,YC,,,,YC,,,,YC,,YC,,,,,,,,,5,4,33,2,33,2,33,2,2,0,0,0,0
KY,0,,,M,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,19,A,F,H,D,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,91,F,F,W,,C,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,,,F,W,,,H,1,S3,,,,,YC,,,,,,,,,,,,,,,5,5,42,1,17,4,67,0,0,0,0,0,0
KY,0,41,C,M,W,D,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,74,E,M,W,D,C,H,0,S4,YC,,,,YC,,,,YC,,YC,,,,,,,,,17,12,100,6,100,6,100,6,12,1,17,0,0
KY,0,96,F,F,W,,C,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,39,B,F,W,D,A,U,1,S3,,,,,YC,,,,,,YC,,,,,,,,,4,4,44,2,40,2,50,1,1,0,0,0,0
KY,0,37,B,F,W,R,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,24,A,F,W,R,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,72,E,M,W,R,A,H,1,R1,YC,,,,YC,,,,YC,,YC,,,,,,,,,16,12,100,6,100,6,100,5,6,1,17,0,0
KY,0,28,A,F,W,D,B,U,0,U5,,,,,,,,,,,YC,,,,,,,,,3,3,75,2,100,1,50,0,1,1,50,1,100
KY,0,38,B,F,W,D,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,21,A,M,W,U,B,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,34,B,M,W,R,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,75,F,F,W,R,E,H,1,R1,YC,,,,YC,,,,,,YC,,,,,,,,,15,12,100,6,100,6,100,5,4,0,0,0,0
KY,0,80,F,F,W,D,C,H,1,R2,YC,,,,YC,,,,YC,,YC,,,,,,,,,17,12,100,6,100,6,100,6,17,3,50,0,0
KY,0,68,E,F,B,R,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,49,C,F,W,R,A,H,1,S4,,,,,YP,,,,,,YP,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,20,A,F,W,U,B,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,73,E,F,W,,A,H,0,R2,YC,,,,YC,,,,,,YC,,,,,,,,,15,12,100,6,100,6,100,3,6,1,17,0,0
KY,0,68,E,F,W,D,C,H,1,R1,,,,,YC,,,,,,YC,,,,,,,,,14,11,92,6,100,5,83,3,2,1,17,0,0
KY,0,50,D,M,W,U,A,U,1,S3,,,,,YC,,,,,,YP,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
KY,0,62,D,M,W,,A,H,1,R1,,,,,YP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,58,D,F,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,25,A,F,W,D,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0
KY,0,34,B,F,W,R,A,H,1,R1,,,,,YP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,52,D,F,W,R,B,U,1,S3,,,,,AP,,,,,,YP,,,,,,,,,3,3,27,1,17,2,40,0,0,0,0,0,0
KY,0,32,B,M,W,U,A,U,1,R2,,,,,AC,,,,,,YP,,,,,,,,,2,2,100,1,100,1,100,1,1,0,0,0,0
KY,0,37,B,F,W,D,E,H,1,R2,,,,,YP,,,,,,YC,,,,,,,,,1,1,17,1,33,0,0,1,0,0,0,0,0
KY,0,24,A,M,W,U,A,U,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,84,F,M,W,D,C,H,0,R2,,,,,YC,,,,,,,,,,,,,,,13,9,75,3,50,6,100,4,5,1,17,0,0
KY,0,42,C,F,W,D,A,H,0,R2,YC,,,,YC,,,,,,,,,,,,,,,5,4,33,2,33,2,33,1,3,0,0,0,0
KY,0,84,F,F,W,,A,H,0,R2,YP,,,,YP,,,,YP,,YP,,,,,,,,,1,1,8,1,17,0,0,1,2,0,0,0,0
KY,0,28,A,F,W,D,B,H,0,S3,,,,,YP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,,,U,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,27,A,F,W,U,A,U,1,S3,,,,,YP,,,,,,AC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
KY,0,69,E,M,W,R,A,H,1,S3,,,,,AP,,,,YC,,YC,,,,,,,,,11,11,92,5,83,6,100,3,5,1,17,0,0
KY,0,89,F,F,W,R,A,U,0,S3,,,,,,,,,,,YC,,,,,,,,,1,1,8,1,17,0,0,1,1,0,0,0,0
KY,0,31,B,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,,,F,W,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,58,D,F,W,R,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,2,2,33,0,0,2,67,0,0,0,0,0,0
KY,0,26,A,F,W,,A,U,0,R2,,,,,YP,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,0,0,0,0
KY,0,76,F,M,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,74,E,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
