sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
ME,0,,,F,W,,A,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,98,F,F,W,R,A,H,0,R1,PC,,PC,,PC,,,PC,PC,,PC,,,,,,,,,17,10,83,6,100,4,67,7,10,1,17,0,0
ME,0,,,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,32,B,F,W,D,B,H,0,S4,,,PC,,AC,,,,,,AC,,,,,,,,,3,3,50,1,33,2,67,0,0,1,33,0,0
ME,0,39,B,M,W,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,23,A,M,W,D,A,H,1,R1,PC,,,,AC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,0,1,0,0,0,0
ME,0,59,D,F,W,D,C,U,0,R2,AC,,AC,,AC,,,AC,PC,,AC,,,,,,,,,14,11,92,6,100,5,83,3,4,1,17,0,0
ME,0,59,D,F,W,D,A,H,1,,,,,,PC,,,,,,,,,,,,,,,4,4,33,1,17,3,50,0,0,0,0,0,0
ME,0,59,D,M,W,U,A,U,1,R1,,,PC,D,PC,,,,,,,,,,,,,,,4,4,40,0,0,4,80,0,0,4,80,0,0
ME,0,28,A,F,W,D,A,U,0,S3,,,,,AC,,,,,,,,,,,,,,,4,3,60,2,67,1,50,1,0,0,0,0,0
ME,0,49,C,M,W,D,A,U,0,R1,PC,,PC,,PC,,,PC,,,AC,,,,,,,,,9,6,50,2,33,4,67,4,4,2,33,0,0
ME,0,34,B,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,,,F,U,,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,59,D,F,W,,A,R,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,44,C,M,W,R,A,H,1,R1,,,,,AC,,,,,,,,,,,,,,,3,3,60,1,33,2,100,0,0,0,0,0,0
ME,0,78,F,F,W,U,C,H,0,R1,,,PC,,AC,,,PC,,,AC,,,,,,,,,14,9,90,5,100,4,80,5,0,1,20,0,0
ME,0,,,U,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
