sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
MS,0,59,D,M,B,U,A,H,0,R2,YC,D,,,YC,,,,,,,,,,,,,,,10,8,73,3,50,5,100,5,4,2,40,4,100
MS,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,,,F,W,U,E,H,0,R1,,,,,YC,,,,,,YC,,,,,,,,,8,7,58,3,50,4,67,2,2,1,17,0,0
MS,0,,,F,B,U,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,30,B,F,B,U,E,H,0,R2,,,,,YC,,,,,,YC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
MS,0,68,E,F,B,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,44,C,M,W,,B,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,,,M,W,U,C,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,60,D,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,42,C,F,W,U,A,H,1,R1,,,,,YC,,,,,,,,,,,,,,,10,6,50,3,50,3,50,4,2,0,0,1,50
MS,0,71,E,F,B,U,A,H,1,R1,,,,,YC,,,,,,YC,YC,,,,,,,,14,9,75,4,67,5,83,8,6,1,17,6,100
MS,0,58,D,M,W,U,B,H,1,R1,,,,,,,,,,,,,,,,,,,,8,6,50,2,33,4,67,3,5,1,17,2,40
MS,0,75,F,F,W,U,C,H,1,S3,YC,D,,,YC,,,,,,YC,,,,,,,,,13,9,100,5,100,4,100,7,8,1,25,7,88
MS,0,58,D,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,62,D,F,B,U,E,H,1,R2,,,,,YC,,,,,,,,,,,,,,,2,2,33,1,33,1,33,0,0,0,0,0,0
