sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
NE,0,46,C,M,W,U,B,H,1,S4,YC,,,,YC,,,,YC,,YC,,,,,,,,,4,4,100,2,100,2,100,2,2,0,0,0,0
NE,0,61,D,F,W,D,E,H,0,U5,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,5,11,1,17,2,18
NE,0,,,M,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,64,D,M,W,D,A,U,0,R2,,,,,,,,,,,,,,,,,,,,1,1,13,0,0,1,25,0,0,0,0,0,0
NE,0,70,E,F,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,58,D,M,W,R,C,H,0,S4,,,,,YC,,,,YC,,YC,,,,,,,,,3,3,100,2,100,1,100,1,1,0,0,0,0
NE,0,48,C,F,W,D,A,U,1,U5,YC,,,,YC,,,,YC,,YC,,,,,,,,,10,10,83,6,100,4,67,4,8,1,17,1,13
NE,0,59,D,M,W,R,A,H,1,S4,,,,,YC,,,,,,YC,,,,,,,,,6,6,67,2,40,4,100,1,0,0,0,0,0
NE,0,32,B,M,W,R,B,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,48,C,M,W,R,E,H,1,R2,,,,,YC,,,,,,YC,,,,,,,,,4,4,100,2,100,2,100,1,0,0,0,0,0
NE,0,41,C,F,W,R,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,80,F,M,W,,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,63,D,M,W,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,1,1,13,0,0,1,25,0,0,0,0,0,0
NE,0,32,B,F,W,U,C,H,1,R1,,,,,YC,,,,,,YC,,,,,,,,,4,4,67,2,67,2,67,1,0,0,0,0,0
NE,0,67,E,M,W,D,B,H,1,S4,YC,,,,YC,,,,,,,,,,,,,,,5,5,63,1,25,4,100,1,3,0,0,0,0
NE,0,59,D,F,W,R,A,H,1,R2,YC,,,,YC,,,,YC,,YC,,,,,,,,,4,4,80,2,67,2,100,1,3,0,0,0,0
NE,0,38,B,M,W,R,A,H,1,R2,YC,,,,YC,,,,YC,,YC,,,,,,,,,10,9,90,4,80,5,100,1,2,0,0,0,0
NE,0,48,C,F,W,D,B,H,1,S3,,,,,YC,,,,,,YC,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
NE,0,76,F,F,W,,C,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,64,D,M,W,R,A,H,0,U5,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
NE,0,53,D,F,W,D,A,U,0,U5,YC,,,,YC,,,,,,YC,,,,,,,,,9,9,75,4,67,5,83,3,4,0,0,0,0
NE,0,89,F,M,W,R,E,H,1,R1,YC,,,,YC,,,,YC,,YC,,,,,,,,,9,9,75,5,83,4,67,0,3,0,0,0,0
NE,0,64,D,F,W,D,B,H,1,S4,YC,,,,YC,,,,,,YC,,,,,,,,,10,10,83,4,67,6,100,0,1,0,0,0,0
NE,0,62,D,F,W,U,A,U,0,S4,,,,,AC,,,,,,YP,,,,,,,,,8,8,67,4,67,4,67,3,0,0,0,0,0
NE,0,98,F,F,W,R,A,H,1,S3,,,,,,,,,,,,,,,,,,,,6,6,50,3,50,3,50,2,1,0,0,0,0
NE,0,,,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,57,D,M,B,D,B,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,56,D,F,W,R,B,H,1,U5,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,5,13,2,33,0,0
NE,0,95,F,F,W,U,A,R,0,S4,YC,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,7,9,0,0,0,0
NE,0,30,B,M,W,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,63,D,F,W,R,B,H,1,S4,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,0,3,0,0,0,0
NE,0,32,B,M,W,U,B,H,0,S4,,,,,YC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,0,0,0,0,0
NE,0,68,E,M,W,U,E,R,1,R1,,,,,YC,,,,,,,,,,,,,,,2,2,17,0,0,2,33,0,0,0,0,0,0
NE,0,,,M,W,,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,51,D,M,W,R,B,H,1,R1,,,,,,,,,YC,,YC,,,,,,,,,6,6,50,3,50,3,50,0,2,0,0,0,0
NE,0,78,F,M,W,D,B,H,1,U5,YC,,,,YC,,,,YC,,YC,,,,,,,,,4,4,80,2,67,2,100,2,3,0,0,0,0
NE,0,,,F,W,,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,,,M,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,43,C,M,W,U,B,H,1,S4,YC,,,,YC,,,,YC,,YC,,,,,,,,,5,5,45,2,33,3,60,1,2,0,0,0,0
NE,0,44,C,F,W,R,D,H,1,U5,,,,,YC,,,,,,,,,,,,,,,6,6,50,2,33,4,67,0,0,0,0,0,0
NE,0,69,E,F,W,,A,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,44,C,M,W,U,C,H,1,S4,YC,,,,YC,,,,,,YC,,,,,,,,,9,9,90,4,80,5,100,4,5,0,0,0,0
NE,0,47,C,M,W,U,B,U,1,S4,,,,,YC,,,,YP,,YP,,,,,,,,,3,3,100,2,100,1,100,2,1,0,0,0,0
NE,0,26,A,M,W,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,83,F,F,W,D,A,H,0,S4,YC,,,,YC,,,,,,YC,,,,,,,,,12,12,100,6,100,6,100,1,3,0,0,0,0
NE,0,63,D,F,W,,C,R,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,,,F,H,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,74,E,M,W,,C,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,37,B,F,W,U,B,H,1,U5,YC,,,,YC,,,,,,,,,,,,,,,6,6,75,2,50,4,100,3,3,0,0,0,0
NE,0,67,E,F,W,R,C,H,1,R1,YC,,,,YC,,,,YC,,YC,,,,,,,,,12,12,100,6,100,6,100,1,8,2,33,0,0
NE,0,84,F,F,W,D,A,H,0,,YC,,,,YC,,,,YC,,YC,,,,,,,,,11,11,92,6,100,5,83,1,3,0,0,0,0
NE,0,35,B,M,W,R,A,H,1,R1,,,,,YC,,,,,,,,,,,,,,,3,3,38,0,0,3,75,0,0,0,0,0,0
NE,0,40,C,F,W,D,A,H,1,U5,YC,,,,YC,,,,,,,,,,,,,,,5,5,50,1,20,4,80,0,1,0,0,0,0
