sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
NV,0,39,B,M,H,,B,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,34,B,M,W,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,62,D,F,A,U,B,H,0,U5,QC,,,,EC,,,,EC,,EC,,,,,,,,,3,3,100,2,100,1,100,0,3,0,0,0,0
NV,0,,,M,H,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,67,E,F,H,,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,63,D,M,W,U,A,H,1,R2,,,,,EC,,,,,,EC,,,,,,,,,7,7,58,3,50,4,67,0,0,0,0,0,0
NV,0,80,F,F,W,,A,U,0,U5,,,,,,,,,,,,,,,,,,,,2,2,33,0,0,2,67,0,0,0,0,0,0
NV,0,31,B,F,W,U,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,24,A,F,W,U,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,47,C,M,W,U,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,41,C,F,W,U,E,R,0,S4,MC,,,,MC,,,,,,MC,,,,,,,,,4,4,100,2,100,2,100,0,2,0,0,0,0
NV,0,27,A,M,W,R,B,H,1,S4,,,,,MC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,0,1,0,0,0,0
NV,0,49,C,F,H,U,A,U,0,U5,,,,,EC,,,,,,EC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
NV,0,41,C,F,W,R,E,H,1,U5,,,,,PC,,,,,,,,,,,,,,,6,6,67,2,40,4,100,0,1,0,0,0,0
NV,0,39,B,M,W,D,A,U,1,U5,QP,,,,QP,,,,MP,,EP,,,,,,,,,11,11,92,5,83,6,100,4,8,0,0,0,0
NV,0,29,A,F,H,D,A,U,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,28,A,M,W,D,B,H,0,S4,,,,,,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
NV,0,76,F,M,A,,C,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,80,F,F,W,R,A,H,1,R2,MP,,MP,,MP,,,,MC,,MC,,,,,,YC,,,1,1,100,1,100,0,0,0,1,1,0,0,0
NV,0,44,C,M,W,,A,H,0,S4,YP,,YP,,YP,,,,YP,,YP,,,,,,,,,6,6,50,3,50,3,50,1,3,1,17,0,0
NV,0,71,E,M,W,U,A,U,0,U5,,,,,EC,,,,,,EC,,,,,,,,,8,8,89,4,80,4,100,0,1,0,0,0,0
NV,0,88,F,M,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
