sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
OR,0,33,B,M,W,D,B,H,0,U6,YC,,,,YC,,,,MC,,MC,,,,MC,,,,,4,4,100,2,100,2,100,4,5,2,100,0,0
OR,0,91,F,F,W,,C,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,63,D,M,W,D,B,H,1,U5,,,,,YC,,,,MC,,MC,,,,,,,,,11,11,92,5,83,6,100,0,3,2,33,0,0
OR,0,33,B,F,H,R,A,U,0,U5,,,,,YC,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
OR,0,70,E,M,W,R,C,H,1,S3,YC,,,,YC,,,,MC,,MC,,,,,,,,,11,11,92,5,83,6,100,3,4,2,33,0,0
OR,0,62,D,M,W,D,B,U,0,U5,YC,,,,YC,,,,MC,,MC,,,,MC,,,,,16,12,100,6,100,6,100,9,7,4,67,0,0
OR,0,76,F,U,W,U,A,U,0,R1,MP,,,,MP,,,,MP,,,,,,,,,,,7,7,58,2,33,5,83,2,4,2,33,0,0
OR,0,60,D,M,W,U,C,H,1,S4,,,,,YC,,,,,,MC,,,,MC,,,,,11,11,92,5,83,6,100,1,3,3,50,0,0
OR,0,27,A,M,W,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,73,E,M,W,R,E,H,0,U5,YC,,,,YC,,,,MC,,MC,,,,MC,,,,,11,11,92,6,100,5,83,6,10,3,50,0,0
OR,0,39,B,F,W,U,A,R,0,U5,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
OR,0,25,A,F,W,U,B,H,1,U5,,,,,YC,,,,,,MC,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
OR,0,58,D,M,W,D,B,H,1,U6,YC,,,,YC,,,,MC,,MC,,,,MC,,,,,9,9,100,5,100,4,100,9,9,3,75,0,0
OR,0,47,C,F,W,U,A,U,1,R2,,,,,YC,,,,,,,,,,,,,,,1,1,25,0,0,1,50,0,0,0,0,0,0
OR,0,26,A,F,W,U,A,H,1,R1,,,,,MP,,,,,,MP,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
OR,0,79,F,F,W,,A,U,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,55,D,F,H,U,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,55,D,M,W,,B,H,1,S4,,,,,YP,,,,,,,,,,,,,,,7,7,64,3,50,4,80,1,0,0,0,0,0
OR,0,67,E,U,W,D,A,U,0,R1,,,,,EP,,,,,,EP,,,,,,EP,R,,10,10,83,4,67,6,100,1,3,3,50,0,0
OR,0,71,E,F,W,R,A,U,0,U5,YC,,,,YC,,,,,,MC,,,,,,,,,6,6,86,4,100,2,67,1,1,0,0,0,0
OR,0,82,F,F,W,,A,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,37,B,M,W,U,B,H,1,U5,,,,,YC,,,,,,MC,,,,,,,,,5,5,50,1,20,4,80,0,0,0,0,0,0
OR,0,68,E,F,W,U,B,H,0,S3,,,,,YC,,,,,,MC,,,,,,,,,11,11,100,6,100,5,100,4,8,2,40,0,0
OR,0,64,D,M,W,,B,R,0,S3,MP,,MP,,MP,MP,,MP,MP,,MP,,,,,,MP,,,22,12,100,6,100,6,100,11,17,4,67,0,0
OR,0,31,B,F,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,26,A,F,W,U,B,R,0,R1,,,,,YC,,,,,,,,,,,,,,,2,2,40,0,0,2,100,0,0,0,0,0,0
OR,0,65,E,M,W,R,A,H,1,R1,YC,,,,YC,,,,MC,,MC,,,,,,,,,12,12,100,6,100,6,100,2,7,1,17,0,0
OR,0,,,F,W,,B,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,61,D,F,W,U,A,H,1,S4,,,,,,,,,,,,,,,,,,,,1,1,10,0,0,1,20,0,0,0,0,0,0
OR,0,61,D,M,W,,C,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,,,F,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,53,D,M,W,R,B,H,1,S4,YC,,,,YC,,,,,,MC,,,,,,,,,6,6,60,2,40,4,80,1,2,1,20,0,0
OR,0,56,D,M,B,U,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
OR,0,20,A,M,H,U,B,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,47,C,F,W,U,B,U,0,U6,YC,,,,YC,,,,,,MC,,,,,,,,,5,5,100,3,100,2,100,1,1,0,0,0,0
OR,0,55,D,F,W,D,A,H,0,U5,,,,,YC,,,,,,,,,,,,,,,8,8,67,2,33,6,100,0,0,0,0,0,0
OR,0,57,D,F,W,U,A,H,0,S4,,,,,,,,,,,,,,,,,,,,2,2,40,1,33,1,50,0,1,1,50,0,0
OR,0,37,B,U,W,U,A,U,0,U6,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,63,D,M,W,D,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,72,E,M,W,R,B,U,0,U5,,,,,YC,,,,MC,,MC,,,,MC,,,,,12,12,100,6,100,6,100,6,5,4,67,0,0
OR,0,19,A,M,W,U,B,U,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,43,C,M,W,U,A,U,0,U5,,,,,MP,,,,,,MP,,,,,,,,,6,6,50,1,17,5,83,2,3,2,33,0,0
