sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
RI,0,37,B,M,W,D,B,H,1,U5,,,,,MC,,,,,,,,,,,,,,,3,3,50,0,0,3,100,0,0,0,0,0,0
RI,0,,,M,U,,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,27,A,M,H,,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,67,E,F,W,D,A,H,0,U5,MC,D,,,EC,,,,,,,,,,,,,,,7,7,70,2,40,5,100,0,4,3,60,4,100
RI,0,96,F,F,W,D,A,H,0,S3,,,,,,,,,,,,,,,,,,,,9,9,75,4,67,5,83,0,0,0,0,0,0
RI,0,74,E,M,W,,B,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,48,C,M,W,,B,H,0,S3,AP,,,,AP,,,,AP,,AP,,,,,,AP,,,8,8,100,4,100,4,100,3,2,1,25,0,0
RI,0,73,E,F,W,D,B,R,0,S3,MC,,,,EC,,,,PC,D,PC,,,,,,,,,10,10,83,5,83,5,83,2,3,1,17,2,67
RI,0,71,E,M,W,R,B,H,1,S3,,,,,YP,,,,,,PC,,,,,,,,,15,10,91,5,83,5,100,6,3,1,20,0,0
RI,0,50,D,F,W,R,B,H,1,R1,,,,,PC,,,,,,PC,,,,,,,,,4,4,100,2,100,2,100,0,0,0,0,0,0
RI,0,,,M,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,20,A,F,H,D,B,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,70,E,F,W,D,A,R,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,27,A,M,W,D,A,U,1,S4,,,,,PC,,,,,,,,,,,,,,,3,3,60,1,33,2,100,0,0,0,0,0,0
RI,0,50,D,F,W,U,B,U,0,U5,,,,,PC,,,,,,,,,,,,,,,6,6,60,1,20,5,100,0,0,1,20,0,0
RI,0,,,F,W,,B,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,20,A,M,W,R,B,H,0,U5,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
RI,0,23,A,M,W,D,B,H,1,R2,MC,D,,,MC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,1,2,1,100,2,100
RI,0,33,B,F,W,U,E,H,1,R2,PC,D,,,EC,,,,PC,D,PC,,,,,,,,,4,4,100,2,100,2,100,0,3,2,100,3,100
RI,0,64,D,M,W,U,,H,1,R2,MC,D,,,EC,,,,,,EC,,,,,,,,,5,5,42,2,33,3,50,0,1,1,17,1,100
RI,0,69,E,M,W,D,,H,1,S3,,,,,PC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,0,2,0,0,2,100
RI,0,34,B,F,W,D,A,U,0,S3,,,,,PC,,,,,,,,,,,,,,,3,3,38,0,0,3,75,0,0,1,25,0,0
RI,0,48,C,M,H,D,A,H,0,U5,,,,,EC,,,,,,,,,,,,,,,4,4,67,1,33,3,100,0,1,0,0,1,100
RI,0,45,C,M,W,R,A,H,1,U5,,,,,PC,,,,,,PC,,,,,,,,,3,3,100,2,100,1,100,0,0,0,0,0,0
RI,0,81,F,M,W,,C,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,32,B,F,W,U,E,H,0,R1,,,,,,,,,,,,,,,,,,,,1,1,17,0,0,1,33,0,0,0,0,0,0
RI,0,56,D,F,W,D,E,H,0,U5,,,,,EC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,0,7,3,50,7,100
RI,0,21,A,F,W,U,B,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,52,D,M,W,D,A,R,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,65,E,F,H,D,A,R,1,U5,,,,,EC,,,,,,,,,,,,,,,4,4,50,0,0,4,100,0,0,0,0,0,0
RI,0,61,D,F,W,U,A,H,1,S3,,,,,EC,,,,,,EC,,,,,,,,,12,12,100,6,100,6,100,0,0,0,0,0,0
RI,0,48,C,F,H,D,A,U,0,U5,PC,D,,,PC,,,,PC,D,PC,,,,,,,,,3,3,100,2,100,1,100,0,3,0,0,3,100
RI,0,,,M,W,,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,71,E,F,B,,B,H,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,,,F,H,,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,68,E,F,W,U,B,H,0,S3,,,,,MC,,,,,,PC,,,,,,,,,11,11,100,6,100,5,100,1,2,1,20,0,0
RI,0,,,M,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,42,C,F,W,D,B,U,0,U5,MC,,,,MC,,,,MC,,MC,,,,,,,,,5,4,100,2,100,2,100,2,3,1,50,0,0
RI,0,,,M,H,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,86,F,F,W,,A,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,50,D,M,W,U,A,H,1,R1,,,,,PC,,,,,,PC,,,,,,,,,7,7,78,3,60,4,100,1,0,0,0,0,0
RI,0,46,C,M,W,U,A,U,1,U5,,,,,PC,,,,,,,,,,,,,,,4,4,67,1,33,3,100,0,1,0,0,1,100
RI,0,38,B,F,W,D,B,H,1,S4,,,,,YP,,,,,,,,,,,,,,,5,5,50,1,20,4,80,0,0,0,0,0,0
RI,0,62,D,F,W,U,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,76,F,F,W,D,B,H,0,U5,MC,D,,,EC,,,,PC,D,EC,,,,,,,,,11,11,92,5,83,6,100,1,7,3,50,7,100
RI,0,31,B,F,U,,C,H,0,R2,AP,D,,,EP,,,,EP,,EP,,,,,,,,,2,2,67,1,50,1,100,0,2,0,0,1,50
RI,0,62,D,F,W,U,A,H,1,U5,,,,,PC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,1,1,0,0,0,0
RI,0,30,B,F,W,,A,R,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,33,B,M,W,D,A,U,0,U5,,,,,YP,,,,,,,,,,,,,,,4,4,50,1,25,3,75,3,0,0,0,0,0
RI,0,96,F,M,W,R,C,H,1,R2,,,,,MC,,,,,,MC,,,,,,,,,9,9,75,4,67,5,83,0,2,0,0,0,0
RI,0,37,B,F,W,,,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,88,F,M,W,,C,H,1,S4,,,,,AP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,35,B,F,W,U,E,H,1,S3,,,,,,,,,,,,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
RI,0,50,D,M,W,D,B,H,0,S3,MC,D,,,MC,,,,,,MP,,,,,,,,,10,10,83,4,67,6,100,1,2,1,17,1,50
RI,0,64,D,M,W,,A,R,1,U5,YP,,YP,,YP,,,,YP,,YP,,,,,,,,,5,5,71,3,75,2,67,2,4,2,67,0,0
RI,0,72,E,F,W,R,A,H,1,S3,,,,,AP,,,,,,PP,,,,,,,,,10,10,83,4,67,6,100,0,0,0,0,0,0
RI,0,58,D,F,W,D,C,H,1,S3,PC,D,,,EC,,,,PC,D,PC,,,,,,,,,12,12,100,6,100,6,100,0,8,1,17,8,100
RI,0,27,A,M,W,U,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,47,C,F,W,U,B,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,36,B,F,W,,B,H,0,S4,AP,D,,,AP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,,,F,W,,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,52,D,F,W,U,D,H,1,S3,PC,,,,PC,,,,,,PC,,,,,,,,,11,11,92,5,83,6,100,0,3,2,33,1,33
RI,0,60,D,F,U,,E,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,37,B,M,W,D,A,U,1,R2,,,,,PC,,,PC,PC,,PC,,,,,,,,,12,6,100,3,100,3,100,6,2,1,33,0,0
RI,0,53,D,M,W,U,A,U,0,S4,,,,,PC,,,,,,,,,,,,,,,10,10,83,5,83,5,83,0,0,0,0,0,0
RI,0,,,F,W,,A,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,46,C,F,W,R,B,H,1,R2,MC,R,,,EC,,,,,,PC,,,,,,,,,5,5,100,3,100,2,100,2,1,1,50,0,0
RI,0,,,F,W,,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,26,A,M,H,D,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,30,B,M,H,U,B,H,0,S3,,,,,PC,,,,,,PC,,,,,,,,,2,2,40,1,33,1,50,0,0,0,0,0,0
RI,0,23,A,M,W,U,A,R,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,67,E,M,W,U,C,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,46,C,M,W,D,B,U,1,S3,,,,,MC,,,,,,MC,,,,,,,,,4,4,100,2,100,2,100,1,1,0,0,1,100
RI,0,69,E,F,W,D,C,H,0,U5,,,,,EC,,,,,,PC,,,,,,,,,8,8,67,3,50,5,83,2,1,1,17,1,100
RI,0,48,C,F,W,U,A,R,0,U5,,,,,MC,,,,,,PC,,,,,,,,,4,4,50,1,25,3,75,0,1,0,0,1,100
RI,0,66,E,M,W,,A,H,1,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,32,B,M,W,U,B,H,1,S3,YP,,YP,,YP,,,,,,YP,,,,,,,,,3,3,43,2,50,1,33,1,1,1,33,0,0
RI,0,29,A,F,U,,B,H,1,U5,,,,,EP,,,,,,EP,,,,,,,,,3,3,60,1,33,2,100,0,0,1,50,0,0
RI,0,59,D,F,W,,A,H,0,S4,,,,,,,,,,,YP,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
RI,0,62,D,F,W,R,C,H,0,R2,,,,,PC,,,,,,PC,,,,,,,,,8,8,67,2,33,6,100,0,0,0,0,0,0
RI,0,32,B,M,W,U,A,H,0,S3,,,,,YC,,,,,,,,,,,,,,,1,1,33,0,0,1,100,0,0,0,0,0,0
RI,0,55,D,F,W,U,B,H,0,U5,,,,,PC,,,,PC,D,PC,,,,,,,,,10,10,83,5,83,5,83,0,1,0,0,1,100
RI,0,49,C,M,W,U,A,H,0,U5,,,,,PP,,,,,,PP,,,,,,,,,9,9,90,4,80,5,100,1,0,0,0,0,0
RI,0,85,F,M,W,U,A,H,1,S4,,,,,EC,,,,PC,R,PC,,,,,,,,,11,11,100,6,100,5,100,1,6,1,20,5,83
RI,0,60,D,M,H,U,A,H,0,U5,,,,,PC,,,,,,PC,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
RI,0,59,D,M,W,U,D,H,1,R2,,,,,,,,,,,,,,,,,,,,2,2,17,0,0,2,33,0,0,0,0,0,0
RI,0,100,F,F,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,73,E,M,H,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,45,C,M,H,U,C,H,1,S4,,,,,PP,,,,,,PP,,,,,,,,,6,6,50,1,17,5,83,0,0,0,0,0,0
RI,0,49,C,M,W,D,C,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,49,C,F,W,U,B,H,1,U5,,,,,EC,,,,,,EC,,,,,,,,,12,12,100,6,100,6,100,0,3,2,33,3,100
RI,0,77,F,M,W,D,C,H,1,U5,MC,D,,,MC,,,,PC,D,MC,,,,,,,,,12,12,100,6,100,6,100,2,10,4,67,10,100
RI,0,94,F,M,W,D,E,H,0,U5,MC,D,,,MC,,,,,,MC,,,,,,,,,12,12,100,6,100,6,100,1,9,5,83,8,89
RI,0,49,C,M,H,U,A,U,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,58,D,F,W,U,B,H,1,S4,,,,,MC,,,YP,,,PC,,,,,,,,,14,12,100,6,100,6,100,3,2,1,17,0,0
RI,0,43,C,F,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,76,F,F,W,U,A,H,1,S3,PC,D,,,PC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,0,2,0,0,2,100
