sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
UT,0,78,F,F,W,,C,H,0,U5,AC,,AC,,AC,,,,,,,,,,,,,,,11,11,92,5,83,6,100,4,8,3,50,0,0
UT,0,29,A,M,W,R,A,U,0,S4,MC,,MC,,MC,,,,,,,,,,,,,,,4,4,67,1,33,3,100,0,1,1,33,0,0
UT,0,50,D,M,W,,B,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,,,F,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,,,F,A,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,66,E,F,W,,B,H,1,S3,MP,,MP,,MP,,,,MP,,MP,,,,,,,,,12,12,100,6,100,6,100,7,6,3,50,0,0
UT,0,45,C,M,A,L,C,H,1,S4,,,,,MC,,,,,,,,,,,,,,,5,5,42,2,33,3,50,1,0,0,0,0,0
UT,0,47,C,F,W,,B,H,0,R2,,,,,QC,,,,,,MC,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,66,E,F,W,R,A,H,1,S3,AC,,,,AC,,,,AC,,AC,,,,,,,,,9,9,75,3,50,6,100,2,2,0,0,0,0
UT,0,,,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,32,B,M,O,U,B,U,0,U5,,,YC,,YC,,,,,,MP,,,,,,,,,3,2,67,1,50,1,100,2,1,1,100,0,0
UT,0,80,F,M,W,,B,H,1,R2,,,,,,,,,,,,,,,,,,,,7,7,64,3,50,4,80,3,6,1,20,0,0
UT,0,,,F,W,,B,H,0,S4,AP,D,,,AP,,,,,,MP,,,,,,,,,1,1,100,1,100,0,0,2,0,0,0,0,0
UT,0,54,D,F,W,U,B,H,0,S4,,,,,MC,,,,MC,,MC,,,,,,,,,7,7,70,2,40,5,100,3,1,0,0,0,0
UT,0,28,A,F,W,D,B,H,1,S3,,,PC,,MC,,,,,,,,,,,,,,,2,2,67,1,50,1,100,1,0,1,100,0,0
UT,0,48,C,M,W,D,C,R,0,S4,AC,,AC,,AC,,,,,,MC,,,,,,,,,6,6,75,2,50,4,100,4,2,1,25,0,0
UT,0,40,C,F,W,U,A,H,1,S4,,,,,MC,,,,,,,,,,,,,,,5,5,63,1,25,4,100,0,0,0,0,0,0
UT,0,62,D,F,W,R,A,H,0,R2,AC,,AC,,AC,,,,AC,,AC,,,,,,,,,10,10,91,5,83,5,100,1,3,1,20,0,0
UT,0,51,D,F,W,U,B,H,1,U5,,,PC,,MC,,,,,,MC,,,,,,,,,10,10,83,5,83,5,83,8,0,1,17,0,0
UT,0,45,C,F,W,,C,H,0,S4,,,,,AC,,,,,,,,,,,,,,,4,4,40,1,20,3,60,3,0,0,0,0,0
UT,0,78,F,F,W,R,B,H,0,U5,MC,,AC,,MC,,,,MC,,MC,,,,,,,,,12,12,100,6,100,6,100,9,5,2,33,0,0
UT,0,,,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,73,E,M,W,R,E,H,0,U5,MC,,,,MC,,,,MC,,MC,,,,,,,,,9,9,75,4,67,5,83,2,2,0,0,0,0
UT,0,59,D,F,W,,A,H,0,U5,AP,,AP,,AP,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,50,D,M,H,U,A,U,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,,,F,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,74,E,F,W,R,A,R,1,S3,MC,,MC,,MC,,,,MC,,MC,,,,,,,,,7,7,88,3,75,4,100,3,5,1,25,0,0
UT,0,42,C,M,W,,B,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,54,D,F,W,R,A,H,1,R2,MC,,MC,,MC,,,,MC,,EC,,,,,,,,,8,8,73,3,50,5,100,9,2,2,40,0,0
UT,0,,,M,W,,A,H,0,U5,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,43,C,M,W,,A,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,80,F,F,W,,C,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,38,B,M,W,U,E,H,0,S4,,,,,,,,,,,,,,,,,,,,2,2,25,1,25,1,25,0,0,0,0,0,0
UT,0,56,D,F,W,R,B,H,1,R2,MC,,MC,,MC,,,,MC,,MC,,,,,,,,,12,12,100,6,100,6,100,9,9,3,50,0,0
UT,0,46,C,M,W,U,B,H,1,U5,,,,,MC,,,,,,,,,,,,,,,8,8,73,3,50,5,100,2,0,1,20,0,0
