sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
WV,0,26,A,M,W,R,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,73,E,F,W,D,A,H,1,R1,,,,,EC,,,,,,,,,,,,,,,3,3,25,0,0,3,50,0,0,0,0,0,0
WV,0,67,E,F,W,D,E,H,0,R2,,,,,,,,,,,,,,,,,,,,1,1,8,0,0,1,17,1,1,1,17,0,0
WV,0,69,E,M,W,D,A,H,1,R1,YC,,,,YC,,,,YC,,PC,,,,,,,,,11,11,92,5,83,6,100,1,8,3,50,0,0
WV,0,43,C,F,W,D,A,H,0,S3,,,,,YC,,,,,,,,,,,,,,,2,2,20,0,0,2,40,0,0,0,0,0,0
WV,0,86,F,F,W,U,A,H,0,R1,AC,,,,AC,,,,,,,,,,,,,,,9,9,75,3,50,6,100,1,7,4,67,0,0
WV,0,63,D,F,W,D,A,U,1,,,,,,EC,,,,,,PC,,,,,,,,,4,4,33,2,33,2,33,0,0,0,0,0,0
WV,0,53,D,F,W,D,A,U,0,S3,,,,,,,,,,,,,,,,,,,,2,2,33,0,0,2,67,1,1,1,33,0,0
WV,0,67,E,M,W,,E,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,,,M,B,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,83,F,F,W,U,A,H,1,R1,EC,,,,EC,,,,YC,,PC,,,,,,,,,9,9,90,4,80,5,100,2,9,3,60,0,0
WV,0,,,F,W,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,38,B,M,W,R,A,U,0,R1,YC,,,,EC,,,,EC,,EC,,,,,,,,,8,8,100,4,100,4,100,1,6,1,25,0,0
WV,0,52,D,M,W,,C,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,22,A,M,W,R,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,75,F,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,58,D,M,W,R,A,H,1,R1,AC,,,,EC,,,,EC,,EC,,,,,,,,,11,11,92,5,83,6,100,2,10,3,50,0,0
WV,0,70,E,M,B,D,A,U,0,S3,YC,,,,YC,,,,,,,,,,,,,,,1,1,11,0,0,1,25,0,1,0,0,0,0
WV,0,,,M,U,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,19,A,M,W,U,B,U,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,45,C,F,W,R,C,H,0,R2,,,,,AC,,,,,,PC,,,,,,,,,2,2,67,1,50,1,100,0,0,0,0,0,0
WV,0,36,B,M,U,,E,H,1,R2,,,,,,,,,PP,R,,,,,,,,,,1,1,25,1,50,0,0,0,1,0,0,0,0
WV,0,49,C,M,W,,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,25,A,F,W,U,A,U,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,34,B,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,56,D,F,W,R,A,U,1,R1,,,,,YC,,,,,,,,,,,,,,,2,2,17,0,0,2,33,0,0,0,0,0,0
WV,0,74,E,F,W,U,A,H,1,R2,YC,,,,YC,,,,YC,,PC,,,,,,,,,12,12,100,6,100,6,100,6,12,4,67,0,0
WV,0,43,C,M,W,U,C,H,0,S3,,,,,YC,,,,,,,,,,,,,,,3,3,50,0,0,3,100,0,2,1,33,0,0
WV,0,64,D,F,W,R,A,H,1,R1,YC,,,,EC,,,,,,EC,,,,,,,,,9,9,75,4,67,5,83,1,3,2,33,0,0
WV,0,52,D,F,W,U,C,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,65,E,M,W,R,A,H,0,R2,,,,,YC,,,,YC,,PC,,,,,,,,,4,4,100,2,100,2,100,0,1,0,0,0,0
WV,0,26,A,M,W,R,A,U,0,R1,,,,,YC,,,,,,,,,,,,,,,2,2,50,0,0,2,100,0,1,1,50,0,0
WV,0,66,E,M,W,D,C,H,1,S3,,,,,EC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,7,10,4,67,0,0
WV,0,39,B,F,W,,E,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,55,D,M,W,U,C,H,0,S3,,,,,YC,,,,YC,,EC,,,,,,,,,9,9,75,4,67,5,83,1,5,1,17,0,0
WV,0,72,E,F,W,,E,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,21,A,F,W,U,B,H,1,R2,,,,,YC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
WV,0,67,E,M,W,R,A,H,1,S3,AC,,,,YC,,,,YC,,PC,,,,,,,,,12,12,100,6,100,6,100,2,6,2,33,0,0
WV,0,53,D,F,W,U,A,H,1,R2,AC,,,,YC,,,,EC,,EC,,,,,,,,,9,9,75,4,67,5,83,3,9,3,50,0,0
WV,0,40,C,M,W,R,A,H,1,R1,,,,,EC,,,,,,,,,,,,,,,4,4,36,0,0,4,80,0,1,1,20,0,0
WV,0,69,E,F,W,D,A,U,0,R2,,,,,EC,,,,,,,,,,,,,,,1,1,50,0,0,1,100,0,0,0,0,0,0
WV,0,75,F,M,W,U,E,H,1,R2,,,,,YC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,3,10,4,67,0,0
WV,0,32,B,F,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
