,Cycle,Office,Abbreviation,Rating,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent,ThirdVotesTotalPercent,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdStatus,OtherVotes,PluralityVotes,ElectoralVotes,Dateline,State,RaceNotes,Raw,Incumbent.Party
1,2020,President,AL,Solid R,R,62.91,37.09,1.08,"1,441,170","Trump, Donald J.",Incumbent,"849,624","Biden, Joseph R. Jr.",Challenger,Independent,"25,176",Challenger,"7,312","591,546",9,10-28-2020,Alabama,,,
2,2020,President,AK,Likely R,R,55.26,44.74,2.47,"189,951","Trump, Donald J.",Incumbent,"153,778","Biden, Joseph R. Jr.",Challenger,Independent,"8,897",Challenger,"6,904","36,173",3,10-28-2020,Alaska,,,
3,2020,President,AZ,Lean D,D,49.84,50.16,1.52,"1,661,686","Trump, Donald J.",Incumbent,"1,672,143","Biden, Joseph R. Jr.",Challenger,Independent,"51,465",Challenger,"2,032","10,457",11,10-28-2020,Arizona,,,
4,2020,President,AR,Solid R,R,64.21,35.79,1.08,"760,647","Trump, Donald J.",Incumbent,"423,932","Biden, Joseph R. Jr.",Challenger,Independent,"13,133",Challenger,"21,357","336,715",6,10-28-2020,Arkansas,,,
5,2020,President,CA,Solid D,D,35.09,64.91,1.07,"6,006,429","Trump, Donald J.",Incumbent,"11,110,250","Biden, Joseph R. Jr.",Challenger,Independent,"187,895",Challenger,"196,307","5,103,821",55,10-28-2020,California,,,
6,2020,President,CO,Likely D,D,43.06,56.94,1.61,"1,364,607","Trump, Donald J.",Incumbent,"1,804,352","Biden, Joseph R. Jr.",Challenger,Independent,"52,460",Challenger,"35,561","439,745",9,10-28-2020,Colorado,,,
7,2020,President,CT,Solid D,D,39.8,60.2,1.11,"714,717","Trump, Donald J.",Incumbent,"1,080,831","Biden, Joseph R. Jr.",Challenger,Independent,"20,230",Challenger,"8,079","366,114",7,10-28-2020,Connecticut,,,
8,2020,President,DE,Solid D,D,40.37,59.63,0.99,"200,603","Trump, Donald J.",Incumbent,"296,268","Biden, Joseph R. Jr.",Challenger,Independent,"5,000",Challenger,"2,475","95,665",3,10-28-2020,Delaware,,,
9,2020,President,DC,Solid D,D,5.53,94.47,0.59,"18,586","Trump, Donald J.",Incumbent,"317,323","Biden, Joseph R. Jr.",Challenger,Independent,"2,036",Challenger,"6,411","298,737",3,10-28-2020,District of Columbia,,,
10,2020,President,FL,Toss Up,R,51.69,48.31,0.64,"5,668,731","Trump, Donald J.",Incumbent,"5,297,045","Biden, Joseph R. Jr.",Challenger,Independent,"70,324",Challenger,"31,356","371,686",29,10-28-2020,Florida,,,
